t,Total
2025-09-03 00:00:00,0.0
2025-09-03 00:05:00,0.0
2025-09-03 00:10:00,0.0
2025-09-03 00:15:00,0.0
2025-09-03 00:20:00,0.0
2025-09-03 00:25:00,0.0
2025-09-03 00:30:00,0.0
2025-09-03 00:35:00,0.0
2025-09-03 00:40:00,0.0
2025-09-03 00:45:00,0.0
2025-09-03 00:50:00,0.0
2025-09-03 00:55:00,0.0
2025-09-03 01:00:00,0.0
2025-09-03 01:05:00,0.0
2025-09-03 01:10:00,0.0
2025-09-03 01:15:00,0.0
2025-09-03 01:20:00,0.0
2025-09-03 01:25:00,0.0
2025-09-03 01:30:00,0.0
2025-09-03 01:35:00,0.0
2025-09-03 01:40:00,0.0
2025-09-03 01:45:00,0.0
2025-09-03 01:50:00,0.0
2025-09-03 01:55:00,0.0
2025-09-03 02:00:00,0.0
2025-09-03 02:05:00,0.0
2025-09-03 02:10:00,0.0
2025-09-03 02:15:00,0.0
2025-09-03 02:20:00,0.0
2025-09-03 02:25:00,0.0
2025-09-03 02:30:00,0.0
2025-09-03 02:35:00,0.0
2025-09-03 02:40:00,0.0
2025-09-03 02:45:00,0.0
2025-09-03 02:50:00,0.0
2025-09-03 02:55:00,0.0
2025-09-03 03:00:00,0.0
2025-09-03 03:05:00,0.0
2025-09-03 03:10:00,0.0
2025-09-03 03:15:00,0.0
2025-09-03 03:20:00,0.0
2025-09-03 03:25:00,0.0
2025-09-03 03:30:00,0.0
2025-09-03 03:35:00,0.0
2025-09-03 03:40:00,0.0
2025-09-03 03:45:00,0.0
2025-09-03 03:50:00,0.0
2025-09-03 03:55:00,0.0
2025-09-03 04:00:00,0.0
2025-09-03 04:05:00,0.0
2025-09-03 04:10:00,0.0
2025-09-03 04:15:00,0.0
2025-09-03 04:20:00,0.0
2025-09-03 04:25:00,0.0
2025-09-03 04:30:00,0.0
2025-09-03 04:35:00,0.0
2025-09-03 04:40:00,0.0
2025-09-03 04:45:00,0.0
2025-09-03 04:50:00,0.0
2025-09-03 04:55:00,0.0
2025-09-03 05:00:00,0.0
2025-09-03 05:05:00,0.0
2025-09-03 05:10:00,0.0
2025-09-03 05:15:00,0.0
2025-09-03 05:20:00,0.0
2025-09-03 05:25:00,0.0
2025-09-03 05:30:00,0.0
2025-09-03 05:35:00,0.0
2025-09-03 05:40:00,0.0
2025-09-03 05:45:00,0.0
2025-09-03 05:50:00,0.0
2025-09-03 05:55:00,0.0
2025-09-03 06:00:00,0.0
2025-09-03 06:05:00,0.0
2025-09-03 06:10:00,0.0
2025-09-03 06:15:00,0.0
2025-09-03 06:20:00,0.0
2025-09-03 06:25:00,0.0
2025-09-03 06:30:00,0.0
2025-09-03 06:35:00,0.0
2025-09-03 06:40:00,0.0
2025-09-03 06:45:00,0.0
2025-09-03 06:50:00,0.0
2025-09-03 06:55:00,0.014
2025-09-03 07:00:00,0.132
2025-09-03 07:05:00,1.222
2025-09-03 07:10:00,1.4549999999999998
2025-09-03 07:15:00,2.09
2025-09-03 07:20:00,3.136
2025-09-03 07:25:00,4.807
2025-09-03 07:30:00,6.632000000000001
2025-09-03 07:35:00,9.295
2025-09-03 07:40:00,11.568
2025-09-03 07:45:00,11.31
2025-09-03 07:50:00,9.479
2025-09-03 07:55:00,8.771999999999998
2025-09-03 08:00:00,8.588000000000001
2025-09-03 08:05:00,13.806
2025-09-03 08:10:00,15.204
2025-09-03 08:15:00,12.92
2025-09-03 08:20:00,12.537
2025-09-03 08:25:00,7.698
2025-09-03 08:30:00,29.533
2025-09-03 08:35:00,23.182
2025-09-03 08:40:00,35.432
2025-09-03 08:45:00,33.823
2025-09-03 08:50:00,27.495
2025-09-03 08:55:00,42.225
2025-09-03 09:00:00,73.246
2025-09-03 09:05:00,72.224
2025-09-03 09:10:00,31.925000000000004
2025-09-03 09:15:00,45.399
2025-09-03 09:20:00,83.38300000000001
2025-09-03 09:25:00,32.297
2025-09-03 09:30:00,47.19500000000001
2025-09-03 09:35:00,82.498
2025-09-03 09:40:00,43.83
2025-09-03 09:45:00,47.487
2025-09-03 09:50:00,42.006
2025-09-03 09:55:00,110.886
2025-09-03 10:00:00,82.084
2025-09-03 10:05:00,55.548
2025-09-03 10:10:00,44.717
