t,Total
2025-08-27 00:00:00,0.0
2025-08-27 00:05:00,0.0
2025-08-27 00:10:00,0.0
2025-08-27 00:15:00,0.0
2025-08-27 00:20:00,0.0
2025-08-27 00:25:00,0.0
2025-08-27 00:30:00,0.0
2025-08-27 00:35:00,0.0
2025-08-27 00:40:00,0.0
2025-08-27 00:45:00,0.0
2025-08-27 00:50:00,0.0
2025-08-27 00:55:00,0.0
2025-08-27 01:00:00,0.0
2025-08-27 01:05:00,0.0
2025-08-27 01:10:00,0.0
2025-08-27 01:15:00,0.0
2025-08-27 01:20:00,0.0
2025-08-27 01:25:00,0.0
2025-08-27 01:30:00,0.0
2025-08-27 01:35:00,0.0
2025-08-27 01:40:00,0.0
2025-08-27 01:45:00,0.0
2025-08-27 01:50:00,0.0
2025-08-27 01:55:00,0.0
2025-08-27 02:00:00,0.0
2025-08-27 02:05:00,0.0
2025-08-27 02:10:00,0.0
2025-08-27 02:15:00,0.0
2025-08-27 02:20:00,0.0
2025-08-27 02:25:00,0.0
2025-08-27 02:30:00,0.0
2025-08-27 02:35:00,0.0
2025-08-27 02:40:00,0.0
2025-08-27 02:45:00,0.0
2025-08-27 02:50:00,0.0
2025-08-27 02:55:00,0.0
2025-08-27 03:00:00,0.0
2025-08-27 03:05:00,0.0
2025-08-27 03:10:00,0.0
2025-08-27 03:15:00,0.0
2025-08-27 03:20:00,0.0
2025-08-27 03:25:00,0.0
2025-08-27 03:30:00,0.0
2025-08-27 03:35:00,0.0
2025-08-27 03:40:00,0.0
2025-08-27 03:45:00,0.0
2025-08-27 03:50:00,0.0
2025-08-27 03:55:00,0.0
2025-08-27 04:00:00,0.0
2025-08-27 04:05:00,0.0
2025-08-27 04:10:00,0.0
2025-08-27 04:15:00,0.0
2025-08-27 04:20:00,0.0
2025-08-27 04:25:00,0.0
2025-08-27 04:30:00,0.0
2025-08-27 04:35:00,0.0
2025-08-27 04:40:00,0.0
2025-08-27 04:45:00,0.0
2025-08-27 04:50:00,0.0
2025-08-27 04:55:00,0.0
2025-08-27 05:00:00,0.0
2025-08-27 05:05:00,0.0
2025-08-27 05:10:00,0.0
2025-08-27 05:15:00,0.0
2025-08-27 05:20:00,0.0
2025-08-27 05:25:00,0.0
2025-08-27 05:30:00,0.0
2025-08-27 05:35:00,0.0
2025-08-27 05:40:00,0.0
2025-08-27 05:45:00,0.0
2025-08-27 05:50:00,0.0
2025-08-27 05:55:00,0.0
2025-08-27 06:00:00,0.0
2025-08-27 06:05:00,0.0
2025-08-27 06:10:00,0.0
2025-08-27 06:15:00,0.0
2025-08-27 06:20:00,0.0
2025-08-27 06:25:00,0.0
2025-08-27 06:30:00,0.0
2025-08-27 06:35:00,0.0
2025-08-27 06:40:00,0.0
2025-08-27 06:45:00,0.0
2025-08-27 06:50:00,0.0
2025-08-27 06:55:00,0.0
2025-08-27 07:00:00,0.011
2025-08-27 07:05:00,0.484
2025-08-27 07:10:00,1.229
2025-08-27 07:15:00,2.154
2025-08-27 07:20:00,2.754
2025-08-27 07:25:00,3.734
2025-08-27 07:30:00,4.25
2025-08-27 07:35:00,4.226
2025-08-27 07:40:00,4.515999999999999
2025-08-27 07:45:00,6.964
2025-08-27 07:50:00,8.009
2025-08-27 07:55:00,9.182
2025-08-27 08:00:00,10.532
2025-08-27 08:05:00,12.755
2025-08-27 08:10:00,17.038
2025-08-27 08:15:00,22.438
2025-08-27 08:20:00,23.146
2025-08-27 08:25:00,28.524
2025-08-27 08:30:00,30.373
2025-08-27 08:35:00,36.976
2025-08-27 08:40:00,33.721
2025-08-27 08:45:00,37.608
2025-08-27 08:50:00,26.258000000000003
2025-08-27 08:55:00,22.888
2025-08-27 09:00:00,0.0
2025-08-27 09:05:00,21.561000000000003
2025-08-27 09:10:00,33.142
2025-08-27 09:15:00,61.553
2025-08-27 09:20:00,65.089
2025-08-27 09:25:00,63.127
2025-08-27 09:30:00,43.82299999999999
2025-08-27 09:35:00,50.852
2025-08-27 09:40:00,45.659
2025-08-27 09:45:00,41.30499999999999
2025-08-27 09:50:00,40.316
2025-08-27 09:55:00,48.701
2025-08-27 10:00:00,46.252
2025-08-27 10:05:00,27.958
2025-08-27 10:10:00,14.155
2025-08-27 10:15:00,9.969
2025-08-27 10:20:00,11.453
2025-08-27 10:25:00,19.919
2025-08-27 10:30:00,44.617
2025-08-27 10:35:00,42.150000000000006
2025-08-27 10:40:00,33.271
2025-08-27 10:45:00,25.738
2025-08-27 10:50:00,27.33
2025-08-27 10:55:00,39.035
2025-08-27 11:00:00,33.291
2025-08-27 11:05:00,23.634999999999994
2025-08-27 11:10:00,22.772
2025-08-27 11:15:00,33.392
2025-08-27 11:20:00,35.38
2025-08-27 11:25:00,33.555
2025-08-27 11:30:00,26.704
2025-08-27 11:35:00,27.739000000000004
2025-08-27 11:40:00,32.472
2025-08-27 11:45:00,34.758
2025-08-27 11:50:00,41.002
2025-08-27 11:55:00,47.89699999999999
2025-08-27 12:00:00,37.294
2025-08-27 12:05:00,40.892
2025-08-27 12:10:00,48.39300000000001
2025-08-27 12:15:00,55.464
2025-08-27 12:20:00,43.596
2025-08-27 12:25:00,27.801
2025-08-27 12:30:00,19.791
2025-08-27 12:35:00,7.082
2025-08-27 12:40:00,6.708
2025-08-27 12:45:00,13.97
2025-08-27 12:50:00,19.95
2025-08-27 12:55:00,37.09
2025-08-27 13:00:00,25.816000000000003
2025-08-27 13:05:00,20.016
2025-08-27 13:10:00,54.775000000000006
