t,Total
2025-09-03 00:00:00,0.0
2025-09-03 00:05:00,0.0
2025-09-03 00:10:00,0.0
2025-09-03 00:15:00,0.0
2025-09-03 00:20:00,0.0
2025-09-03 00:25:00,0.0
2025-09-03 00:30:00,0.0
2025-09-03 00:35:00,0.0
2025-09-03 00:40:00,0.0
2025-09-03 00:45:00,0.0
2025-09-03 00:50:00,0.0
2025-09-03 00:55:00,0.0
2025-09-03 01:00:00,0.0
2025-09-03 01:05:00,0.0
2025-09-03 01:10:00,0.0
2025-09-03 01:15:00,0.0
2025-09-03 01:20:00,0.0
2025-09-03 01:25:00,0.0
2025-09-03 01:30:00,0.0
2025-09-03 01:35:00,0.0
2025-09-03 01:40:00,0.0
2025-09-03 01:45:00,0.0
2025-09-03 01:50:00,0.0
2025-09-03 01:55:00,0.0
2025-09-03 02:00:00,0.0
2025-09-03 02:05:00,0.0
2025-09-03 02:10:00,0.0
2025-09-03 02:15:00,0.0
2025-09-03 02:20:00,0.0
2025-09-03 02:25:00,0.0
2025-09-03 02:30:00,0.0
2025-09-03 02:35:00,0.0
2025-09-03 02:40:00,0.0
2025-09-03 02:45:00,0.0
2025-09-03 02:50:00,0.0
2025-09-03 02:55:00,0.0
2025-09-03 03:00:00,0.0
2025-09-03 03:05:00,0.0
2025-09-03 03:10:00,0.0
2025-09-03 03:15:00,0.0
2025-09-03 03:20:00,0.0
2025-09-03 03:25:00,0.0
2025-09-03 03:30:00,0.0
2025-09-03 03:35:00,0.0
2025-09-03 03:40:00,0.0
2025-09-03 03:45:00,0.0
2025-09-03 03:50:00,0.0
2025-09-03 03:55:00,0.0
2025-09-03 04:00:00,0.0
2025-09-03 04:05:00,0.0
2025-09-03 04:10:00,0.0
2025-09-03 04:15:00,0.0
2025-09-03 04:20:00,0.0
2025-09-03 04:25:00,0.0
2025-09-03 04:30:00,0.0
2025-09-03 04:35:00,0.0
2025-09-03 04:40:00,0.0
2025-09-03 04:45:00,0.0
2025-09-03 04:50:00,0.0
2025-09-03 04:55:00,0.0
2025-09-03 05:00:00,0.0
2025-09-03 05:05:00,0.0
2025-09-03 05:10:00,0.0
2025-09-03 05:15:00,0.0
2025-09-03 05:20:00,0.0
2025-09-03 05:25:00,0.0
2025-09-03 05:30:00,0.0
2025-09-03 05:35:00,0.0
2025-09-03 05:40:00,0.0
2025-09-03 05:45:00,0.0
2025-09-03 05:50:00,0.0
2025-09-03 05:55:00,0.0
2025-09-03 06:00:00,0.0
2025-09-03 06:05:00,0.0
2025-09-03 06:10:00,0.0
2025-09-03 06:15:00,0.0
2025-09-03 06:20:00,0.0
2025-09-03 06:25:00,0.0
2025-09-03 06:30:00,0.0
2025-09-03 06:35:00,0.0
2025-09-03 06:40:00,0.0
2025-09-03 06:45:00,0.979
2025-09-03 06:50:00,2.047
2025-09-03 06:55:00,4.226
2025-09-03 07:00:00,8.421000000000001
2025-09-03 07:05:00,13.84
2025-09-03 07:10:00,20.199
2025-09-03 07:15:00,25.983
2025-09-03 07:20:00,31.876
2025-09-03 07:25:00,38.347
2025-09-03 07:30:00,45.598
2025-09-03 07:35:00,53.676
2025-09-03 07:40:00,60.884
2025-09-03 07:45:00,73.018
2025-09-03 07:50:00,85.84799999999998
2025-09-03 07:55:00,99.896
2025-09-03 08:00:00,116.108
2025-09-03 08:05:00,137.24600000000004
2025-09-03 08:10:00,153.389
2025-09-03 08:15:00,181.989
2025-09-03 08:20:00,210.846
2025-09-03 08:25:00,211.123
2025-09-03 08:30:00,288.27199999999993
2025-09-03 08:35:00,222.01
2025-09-03 08:40:00,333.74
2025-09-03 08:45:00,304.303
2025-09-03 08:50:00,390.268
2025-09-03 08:55:00,414.751
2025-09-03 09:00:00,453.25900000000007
2025-09-03 09:05:00,369.087
2025-09-03 09:10:00,424.035
2025-09-03 09:15:00,475.679
2025-09-03 09:20:00,489.338
2025-09-03 09:25:00,542.613
2025-09-03 09:30:00,508.541
2025-09-03 09:35:00,628.3030000000002
2025-09-03 09:40:00,695.937
2025-09-03 09:45:00,747.837
2025-09-03 09:50:00,767.868
2025-09-03 09:55:00,762.545
2025-09-03 10:00:00,811.579
2025-09-03 10:05:00,743.1899999999998
2025-09-03 10:10:00,831.808
