t,Total
2025-10-07 00:00:00,0.0
2025-10-07 00:05:00,0.0
2025-10-07 00:10:00,0.0
2025-10-07 00:15:00,0.0
2025-10-07 00:20:00,0.0
2025-10-07 00:25:00,0.0
2025-10-07 00:30:00,0.0
2025-10-07 00:35:00,0.0
2025-10-07 00:40:00,0.0
2025-10-07 00:45:00,0.0
2025-10-07 00:50:00,0.0
2025-10-07 00:55:00,0.0
2025-10-07 01:00:00,0.0
2025-10-07 01:05:00,0.0
2025-10-07 01:10:00,0.0
2025-10-07 01:15:00,0.0
2025-10-07 01:20:00,0.0
2025-10-07 01:25:00,0.0
2025-10-07 01:30:00,0.0
2025-10-07 01:35:00,0.0
2025-10-07 01:40:00,0.0
2025-10-07 01:45:00,0.0
2025-10-07 01:50:00,0.0
2025-10-07 01:55:00,0.0
2025-10-07 02:00:00,0.0
2025-10-07 02:05:00,0.0
2025-10-07 02:10:00,0.0
2025-10-07 02:15:00,0.0
2025-10-07 02:20:00,0.0
2025-10-07 02:25:00,0.0
2025-10-07 02:30:00,0.0
2025-10-07 02:35:00,0.0
2025-10-07 02:40:00,0.0
2025-10-07 02:45:00,0.0
2025-10-07 02:50:00,0.0
2025-10-07 02:55:00,0.0
2025-10-07 03:00:00,0.0
2025-10-07 03:05:00,0.0
2025-10-07 03:10:00,0.0
2025-10-07 03:15:00,0.0
2025-10-07 03:20:00,0.0
2025-10-07 03:25:00,0.0
2025-10-07 03:30:00,0.0
2025-10-07 03:35:00,0.0
2025-10-07 03:40:00,0.0
2025-10-07 03:45:00,0.0
2025-10-07 03:50:00,0.0
2025-10-07 03:55:00,0.0
2025-10-07 04:00:00,0.0
2025-10-07 04:05:00,0.0
2025-10-07 04:10:00,0.0
2025-10-07 04:15:00,0.0
2025-10-07 04:20:00,0.0
2025-10-07 04:25:00,0.0
2025-10-07 04:30:00,0.0
2025-10-07 04:35:00,0.0
2025-10-07 04:40:00,0.0
2025-10-07 04:45:00,0.0
2025-10-07 04:50:00,0.0
2025-10-07 04:55:00,0.0
2025-10-07 05:00:00,0.0
2025-10-07 05:05:00,0.0
2025-10-07 05:10:00,0.0
2025-10-07 05:15:00,0.0
2025-10-07 05:20:00,0.0
2025-10-07 05:25:00,0.0
2025-10-07 05:30:00,0.0
2025-10-07 05:35:00,0.0
2025-10-07 05:40:00,0.0
2025-10-07 05:45:00,0.0
2025-10-07 05:50:00,0.0
2025-10-07 05:55:00,0.0
2025-10-07 06:00:00,0.0
2025-10-07 06:05:00,0.0
2025-10-07 06:10:00,0.0
2025-10-07 06:15:00,0.0
2025-10-07 06:20:00,0.0
2025-10-07 06:25:00,0.0
2025-10-07 06:30:00,0.0
2025-10-07 06:35:00,0.0
2025-10-07 06:40:00,0.0
2025-10-07 06:45:00,0.0
2025-10-07 06:50:00,0.0
2025-10-07 06:55:00,0.0
2025-10-07 07:00:00,0.0
2025-10-07 07:05:00,0.0
2025-10-07 07:10:00,0.0
2025-10-07 07:15:00,0.0
2025-10-07 07:20:00,0.0
2025-10-07 07:25:00,0.0
2025-10-07 07:30:00,0.3279999999999999
2025-10-07 07:35:00,0.5670000000000001
2025-10-07 07:40:00,2.268
2025-10-07 07:45:00,4.011
2025-10-07 07:50:00,6.2620000000000005
2025-10-07 07:55:00,8.863000000000001
2025-10-07 08:00:00,11.111
2025-10-07 08:05:00,14.279000000000002
2025-10-07 08:10:00,17.727
2025-10-07 08:15:00,20.958
2025-10-07 08:20:00,24.611
2025-10-07 08:25:00,28.935
2025-10-07 08:30:00,33.192
2025-10-07 08:35:00,37.764
2025-10-07 08:40:00,41.077
2025-10-07 08:45:00,43.706
2025-10-07 08:50:00,47.452
2025-10-07 08:55:00,50.919
2025-10-07 09:00:00,54.82600000000001
2025-10-07 09:05:00,59.84
2025-10-07 09:10:00,63.676
2025-10-07 09:15:00,66.265
2025-10-07 09:20:00,69.904
2025-10-07 09:25:00,73.905
2025-10-07 09:30:00,78.00200000000001
2025-10-07 09:35:00,81.587
2025-10-07 09:40:00,85.12100000000001
2025-10-07 09:45:00,88.75099999999999
2025-10-07 09:50:00,91.23600000000002
2025-10-07 09:55:00,94.773
2025-10-07 10:00:00,97.779
2025-10-07 10:05:00,101.109
2025-10-07 10:10:00,103.768
2025-10-07 10:15:00,106.319
2025-10-07 10:20:00,108.563
2025-10-07 10:25:00,111.25
2025-10-07 10:30:00,114.072
2025-10-07 10:35:00,116.121
2025-10-07 10:40:00,118.821
2025-10-07 10:45:00,120.638
2025-10-07 10:50:00,122.54
2025-10-07 10:55:00,123.963
2025-10-07 11:00:00,126.436
2025-10-07 11:05:00,128.276
2025-10-07 11:10:00,130.212
2025-10-07 11:15:00,131.113
2025-10-07 11:20:00,131.24200000000002
2025-10-07 11:25:00,132.966
2025-10-07 11:30:00,135.369
2025-10-07 11:35:00,136.76
2025-10-07 11:40:00,138.687
2025-10-07 11:45:00,139.218
2025-10-07 11:50:00,140.243
2025-10-07 11:55:00,141.266
2025-10-07 12:00:00,142.602
2025-10-07 12:05:00,144.31
2025-10-07 12:10:00,143.76600000000002
2025-10-07 12:15:00,145.33999999999995
2025-10-07 12:20:00,145.298
2025-10-07 12:25:00,145.219
2025-10-07 12:30:00,145.924
2025-10-07 12:35:00,144.87099999999998
2025-10-07 12:40:00,146.042
2025-10-07 12:45:00,146.613
2025-10-07 12:50:00,147.859
2025-10-07 12:55:00,147.70299999999995
2025-10-07 13:00:00,147.922
2025-10-07 13:05:00,144.671
2025-10-07 13:10:00,146.44000000000003
2025-10-07 13:15:00,144.80100000000002
2025-10-07 13:20:00,145.792
2025-10-07 13:25:00,144.726
2025-10-07 13:30:00,141.762
2025-10-07 13:35:00,142.86
2025-10-07 13:40:00,136.707
2025-10-07 13:45:00,143.59
2025-10-07 13:50:00,138.149
2025-10-07 13:55:00,142.07700000000003
2025-10-07 14:00:00,141.008
2025-10-07 14:05:00,138.46
2025-10-07 14:10:00,136.782
2025-10-07 14:15:00,134.263
2025-10-07 14:20:00,132.905
2025-10-07 14:25:00,131.35399999999998
2025-10-07 14:30:00,132.17299999999997
2025-10-07 14:35:00,130.75300000000001
