t,Q,P,Bar,Eta
2025-09-24 11:14:52,5.9999999999999995e-05,0.0,0.04,0.0
2025-09-24 11:19:52,2e-05,0.0,0.04,0.0
2025-09-24 11:24:52,5.9999999999999995e-05,0.0,0.03,0.0
2025-09-24 11:29:51,2.9999999999999997e-05,0.0,0.03,0.0
2025-09-24 11:34:51,1e-05,0.0,0.02,0.0
2025-09-24 14:19:14,8.999999999999999e-05,0.0,-0.01,-0.0
2025-09-24 14:24:14,7.000000000000001e-05,0.0,-0.01,-0.0
2025-09-24 14:29:14,0.00011999999999999999,0.0,-0.01,-0.0
2025-09-24 14:34:14,5.9999999999999995e-05,0.0,-0.02,-0.0
2025-09-24 14:39:14,7.000000000000001e-05,0.0,-0.02,-0.0
2025-09-24 14:44:14,8e-05,0.0,-0.02,-0.0
2025-09-24 14:49:14,7.000000000000001e-05,0.0,-0.02,-0.0
2025-09-24 14:54:14,2.9999999999999997e-05,0.0,0.05,0.0
2025-09-24 14:59:14,7.000000000000001e-05,0.0,0.13,0.0
2025-09-24 15:04:14,5.9999999999999995e-05,0.0,0.25,0.0
2025-09-24 15:09:14,5.9999999999999995e-05,0.0,0.35,0.0
2025-09-24 15:14:14,5.9999999999999995e-05,0.0,0.6,0.0
2025-09-24 15:19:14,2.9999999999999997e-05,0.0,1.24,0.0
2025-09-24 15:24:14,2.9999999999999997e-05,0.0,2.01,0.0
2025-09-24 15:29:14,5.9999999999999995e-05,0.0,2.77,0.0
2025-09-24 15:34:14,5.9999999999999995e-05,0.0,3.46,0.0
2025-09-24 15:39:14,7.000000000000001e-05,0.0,3.79,0.0
2025-09-24 15:44:14,2.9999999999999997e-05,0.0,3.8,0.0
2025-09-24 15:49:14,2e-05,0.0,3.8,0.0
2025-09-24 15:54:14,5.9999999999999995e-05,0.0,3.8,0.0
2025-09-24 15:59:14,0.13063,0.0,1.29,0.0
2025-09-24 16:04:14,0.014410000000000001,0.0,0.04,0.0
