t,Q,P,Bar,Eta
2025-10-06 14:30:00,0.0238963,59.4388,30.854,0.8058782475804915
2025-10-06 14:45:00,0.0216504,53.1484,30.9308,0.7933679552826063
2025-10-06 15:00:00,0.019025300000000002,46.5186,31.0136,0.7881057180796823
2025-10-06 15:15:00,0.025773599999999997,64.5187,30.8049,0.812329561996413
2025-10-06 15:30:00,0.0224545,54.7972,30.933,0.788632144089792
2025-10-06 15:45:00,0.0177706,43.143,31.0997,0.7803574616872306
2025-10-06 16:00:00,0.0293526,74.0913,30.7529,0.8204953046140377
2025-10-06 16:15:00,0.0319855,81.0039,30.6644,0.8255813067877561
2025-10-06 16:30:00,0.028473099999999998,71.4415,30.7912,0.814574356425353
2025-10-06 16:45:00,0.0270057,67.6142,30.7998,0.8125986867350918
2025-10-06 17:00:00,0.0253366,63.3694,30.8269,0.8110412512811191
2025-10-06 17:15:00,0.0310261,78.3141,30.6376,0.8235681999743845
2025-10-06 17:30:00,0.033692799999999995,84.8051,30.499,0.824975030799038
2025-10-06 17:45:00,0.028263200000000002,70.7782,30.7593,0.8138479456365674
2025-10-06 18:00:00,0.0244733,61.1612,30.8353,0.8101712419303664
2025-10-06 18:15:00,0.0300481,75.4346,30.6352,0.8191706684951129
2025-10-06 18:30:00,0.0305373,76.0725,30.4141,0.8187732042172348
2025-10-06 18:45:00,0.024445,59.8494,30.7236,0.7965979684734059
2025-10-06 19:00:00,0.0252694,63.136,30.7402,0.812488050136856
2025-10-06 19:15:00,0.0364265,89.4484,29.78,0.8242747116398018
2025-10-06 19:30:00,0.0365691,89.6811,29.7791,0.823221347381854
2025-10-06 19:45:00,0.0281727,67.7403,30.2827,0.7937168283878305
2025-10-06 20:00:00,-5.99e-05,0.0,31.704,-0.0
2025-10-06 20:15:00,0.0197542,48.3969,31.0701,0.7882373039998971
2025-10-06 20:30:00,0.0183736,43.6107,30.9115,0.7675740040052311
2025-10-06 20:45:00,0.0143857,33.1147,31.0218,0.7417616390186307
