t,Total
2025-10-07 00:00:00,0.0
2025-10-07 00:05:00,0.0
2025-10-07 00:10:00,0.0
2025-10-07 00:15:00,0.0
2025-10-07 00:20:00,0.0
2025-10-07 00:25:00,0.0
2025-10-07 00:30:00,0.0
2025-10-07 00:35:00,0.0
2025-10-07 00:40:00,0.0
2025-10-07 00:45:00,0.0
2025-10-07 00:50:00,0.0
2025-10-07 00:55:00,0.0
2025-10-07 01:00:00,0.0
2025-10-07 01:05:00,0.0
2025-10-07 01:10:00,0.0
2025-10-07 01:15:00,0.0
2025-10-07 01:20:00,0.0
2025-10-07 01:25:00,0.0
2025-10-07 01:30:00,0.0
2025-10-07 01:35:00,0.0
2025-10-07 01:40:00,0.0
2025-10-07 01:45:00,0.0
2025-10-07 01:50:00,0.0
2025-10-07 01:55:00,0.0
2025-10-07 02:00:00,0.0
2025-10-07 02:05:00,0.0
2025-10-07 02:10:00,0.0
2025-10-07 02:15:00,0.0
2025-10-07 02:20:00,0.0
2025-10-07 02:25:00,0.0
2025-10-07 02:30:00,0.0
2025-10-07 02:35:00,0.0
2025-10-07 02:40:00,0.0
2025-10-07 02:45:00,0.0
2025-10-07 02:50:00,0.0
2025-10-07 02:55:00,0.0
2025-10-07 03:00:00,0.0
2025-10-07 03:05:00,0.0
2025-10-07 03:10:00,0.0
2025-10-07 03:15:00,0.0
2025-10-07 03:20:00,0.0
2025-10-07 03:25:00,0.0
2025-10-07 03:30:00,0.0
2025-10-07 03:35:00,0.0
2025-10-07 03:40:00,0.0
2025-10-07 03:45:00,0.0
2025-10-07 03:50:00,0.0
2025-10-07 03:55:00,0.0
2025-10-07 04:00:00,0.0
2025-10-07 04:05:00,0.0
2025-10-07 04:10:00,0.0
2025-10-07 04:15:00,0.0
2025-10-07 04:20:00,0.0
2025-10-07 04:25:00,0.0
2025-10-07 04:30:00,0.0
2025-10-07 04:35:00,0.0
2025-10-07 04:40:00,0.0
2025-10-07 04:45:00,0.0
2025-10-07 04:50:00,0.0
2025-10-07 04:55:00,0.0
2025-10-07 05:00:00,0.0
2025-10-07 05:05:00,0.0
2025-10-07 05:10:00,0.0
2025-10-07 05:15:00,0.0
2025-10-07 05:20:00,0.0
2025-10-07 05:25:00,0.0
2025-10-07 05:30:00,0.0
2025-10-07 05:35:00,0.0
2025-10-07 05:40:00,0.0
2025-10-07 05:45:00,0.0
2025-10-07 05:50:00,0.0
2025-10-07 05:55:00,0.0
2025-10-07 06:00:00,0.0
2025-10-07 06:05:00,0.0
2025-10-07 06:10:00,0.0
2025-10-07 06:15:00,0.0
2025-10-07 06:20:00,0.0
2025-10-07 06:25:00,0.0
2025-10-07 06:30:00,0.0
2025-10-07 06:35:00,0.0
2025-10-07 06:40:00,0.0
2025-10-07 06:45:00,0.0
2025-10-07 06:50:00,0.0
2025-10-07 06:55:00,0.0
2025-10-07 07:00:00,0.0
2025-10-07 07:05:00,0.0
2025-10-07 07:10:00,0.0
2025-10-07 07:15:00,0.0
2025-10-07 07:20:00,0.23099999999999998
2025-10-07 07:25:00,0.42300000000000004
2025-10-07 07:30:00,0.6930000000000001
2025-10-07 07:35:00,1.02
2025-10-07 07:40:00,2.388
2025-10-07 07:45:00,3.7560000000000002
2025-10-07 07:50:00,4.599
2025-10-07 07:55:00,4.625
2025-10-07 08:00:00,5.007
2025-10-07 08:05:00,5.775
2025-10-07 08:10:00,6.301
2025-10-07 08:15:00,6.962
2025-10-07 08:20:00,8.081
2025-10-07 08:25:00,9.705
2025-10-07 08:30:00,11.926
2025-10-07 08:35:00,16.42
2025-10-07 08:40:00,18.378999999999998
2025-10-07 08:45:00,23.133
2025-10-07 08:50:00,33.794
2025-10-07 08:55:00,37.929
2025-10-07 09:00:00,45.084
2025-10-07 09:05:00,51.866
2025-10-07 09:10:00,57.561
2025-10-07 09:15:00,60.809
2025-10-07 09:20:00,62.044
2025-10-07 09:25:00,64.481
2025-10-07 09:30:00,68.30199999999999
2025-10-07 09:35:00,71.55799999999999
2025-10-07 09:40:00,74.631
2025-10-07 09:45:00,77.174
2025-10-07 09:50:00,79.439
2025-10-07 09:55:00,81.622
2025-10-07 10:00:00,83.259
2025-10-07 10:05:00,85.38499999999999
2025-10-07 10:10:00,88.297
2025-10-07 10:15:00,89.941
2025-10-07 10:20:00,91.97800000000001
2025-10-07 10:25:00,94.34700000000001
2025-10-07 10:30:00,96.55
2025-10-07 10:35:00,98.991
2025-10-07 10:40:00,100.527
2025-10-07 10:45:00,102.334
2025-10-07 10:50:00,103.666
2025-10-07 10:55:00,105.807
2025-10-07 11:00:00,106.447
2025-10-07 11:05:00,108.231
2025-10-07 11:10:00,109.508
2025-10-07 11:15:00,110.55000000000001
2025-10-07 11:20:00,112.134
2025-10-07 11:25:00,113.408
2025-10-07 11:30:00,115.263
2025-10-07 11:35:00,116.344
2025-10-07 11:40:00,117.349
2025-10-07 11:45:00,118.477
2025-10-07 11:50:00,119.521
2025-10-07 11:55:00,120.417
2025-10-07 12:00:00,121.10300000000001
2025-10-07 12:05:00,121.75399999999999
2025-10-07 12:10:00,122.156
2025-10-07 12:15:00,122.42599999999999
2025-10-07 12:20:00,122.491
2025-10-07 12:25:00,122.739
2025-10-07 12:30:00,123.04599999999999
2025-10-07 12:35:00,123.505
2025-10-07 12:40:00,123.628
2025-10-07 12:45:00,123.42699999999999
2025-10-07 12:50:00,123.225
2025-10-07 12:55:00,122.99
2025-10-07 13:00:00,122.511
2025-10-07 13:05:00,121.94800000000001
2025-10-07 13:10:00,121.701
2025-10-07 13:15:00,121.374
2025-10-07 13:20:00,120.821
2025-10-07 13:25:00,120.203
2025-10-07 13:30:00,119.541
2025-10-07 13:35:00,118.789
2025-10-07 13:40:00,117.85
2025-10-07 13:45:00,117.15899999999999
2025-10-07 13:50:00,116.189
2025-10-07 13:55:00,115.16900000000001
2025-10-07 14:00:00,113.838
2025-10-07 14:05:00,112.97
2025-10-07 14:10:00,111.716
2025-10-07 14:15:00,110.19
2025-10-07 14:20:00,108.924
2025-10-07 14:25:00,107.378
2025-10-07 14:30:00,105.719
2025-10-07 14:35:00,104.035
