t,Q,P,Bar,Eta
2025-08-26 14:48:32,0.06111285,132.7699,27.16083,0.7995867537351399
2025-08-26 15:03:32,0.062190840000000004,134.8418,27.13903,0.7986294754083166
2025-08-26 15:18:32,0.06135956,132.7932,27.11541,0.7978457972625138
2025-08-26 15:33:32,0.0,0.0,28.67239,
2025-08-26 15:48:32,0.0,0.0,28.70509,
2025-08-26 16:03:33,0.0,0.0,28.70872,
2025-08-26 16:18:32,0.0,0.0,28.71599,
2025-08-26 16:33:32,0.0,0.0,28.71054,
2025-08-26 16:48:32,0.0,0.0,28.71236,
2025-08-26 17:03:33,0.0,0.0,28.71236,
2025-08-26 17:18:32,0.0,0.0,28.71417,
2025-08-26 17:33:32,0.0,0.0,28.70872,
2025-08-26 17:48:33,0.0,0.0,28.71054,
2025-08-26 18:03:32,0.0,0.0,28.71781,
2025-08-26 18:18:32,0.04587084,99.03441,27.50965,0.784523393045125
2025-08-26 18:33:32,0.04517899,97.7545,27.5914,0.7839133148404556
2025-08-26 18:48:33,0.04590839,100.1586,27.55507,0.7914731781882363
2025-08-26 19:03:32,0.046659219999999994,101.1441,27.55144,0.7865028755558273
2025-08-26 19:18:32,0.04586548,99.56879,27.57324,0.7870295214178376
2025-08-26 19:33:32,0.04586548,99.34657,27.57505,0.7852214655912242
2025-08-26 19:48:32,0.0462838,102.4033,27.62956,0.8004837362597341
2025-08-26 20:03:32,0.04626772,102.6271,27.63501,0.8023537184655649
2025-08-26 20:18:32,0.04617654,100.4695,27.56779,0.7889553733847953
2025-08-26 20:33:32,0.0184438,32.25538,28.24726,0.6188949921601791
2025-08-26 20:48:32,0.01135374,17.26072,28.37626,0.5355577960063513
2025-08-26 21:03:32,0.0113752,17.23002,28.39624,0.533221239066795
2025-08-26 21:18:32,0.01130548,17.26312,28.40532,0.5373684130814732
2025-08-26 21:33:32,0.01133229,17.29122,28.4253,0.5365923010393903
2025-08-26 21:48:32,0.06460961,136.6193,26.81746,0.7882043588525921
2025-08-26 22:03:32,0.05237095,113.6435,27.37884,0.7922835564201363
2025-08-26 22:18:32,0.051866819999999994,112.497,27.39519,0.79144099108084
2025-08-26 22:33:32,0.05145386,111.8355,27.417,0.7924709092094985
2025-08-26 22:48:32,0.05205453,112.5687,27.39701,0.7890372206184245
2025-08-26 23:03:32,0.05203844,112.6903,27.39519,0.7901862837578144
2025-08-26 23:18:32,0.05154503,111.9626,27.41336,0.7920734323601641
