t,Total
2025-09-03 00:00:00,0.0
2025-09-03 00:05:00,0.0
2025-09-03 00:10:00,0.0
2025-09-03 00:15:00,0.0
2025-09-03 00:20:00,0.0
2025-09-03 00:25:00,0.0
2025-09-03 00:30:00,0.0
2025-09-03 00:35:00,0.0
2025-09-03 00:40:00,0.0
2025-09-03 00:45:00,0.0
2025-09-03 00:50:00,0.0
2025-09-03 00:55:00,0.0
2025-09-03 01:00:00,0.0
2025-09-03 01:05:00,0.0
2025-09-03 01:10:00,0.0
2025-09-03 01:15:00,0.0
2025-09-03 01:20:00,0.0
2025-09-03 01:25:00,0.0
2025-09-03 01:30:00,0.0
2025-09-03 01:35:00,0.0
2025-09-03 01:40:00,0.0
2025-09-03 01:45:00,0.0
2025-09-03 01:50:00,0.0
2025-09-03 01:55:00,0.0
2025-09-03 02:00:00,0.0
2025-09-03 02:05:00,0.0
2025-09-03 02:10:00,0.0
2025-09-03 02:15:00,0.0
2025-09-03 02:20:00,0.0
2025-09-03 02:25:00,0.0
2025-09-03 02:30:00,0.0
2025-09-03 02:35:00,0.0
2025-09-03 02:40:00,0.0
2025-09-03 02:45:00,0.0
2025-09-03 02:50:00,0.0
2025-09-03 02:55:00,0.0
2025-09-03 03:00:00,0.0
2025-09-03 03:05:00,0.0
2025-09-03 03:10:00,0.0
2025-09-03 03:15:00,0.0
2025-09-03 03:20:00,0.0
2025-09-03 03:25:00,0.0
2025-09-03 03:30:00,0.0
2025-09-03 03:35:00,0.0
2025-09-03 03:40:00,0.0
2025-09-03 03:45:00,0.0
2025-09-03 03:50:00,0.0
2025-09-03 03:55:00,0.0
2025-09-03 04:00:00,0.0
2025-09-03 04:05:00,0.0
2025-09-03 04:10:00,0.0
2025-09-03 04:15:00,0.0
2025-09-03 04:20:00,0.0
2025-09-03 04:25:00,0.0
2025-09-03 04:30:00,0.0
2025-09-03 04:35:00,0.0
2025-09-03 04:40:00,0.0
2025-09-03 04:45:00,0.0
2025-09-03 04:50:00,0.0
2025-09-03 04:55:00,0.0
2025-09-03 05:00:00,0.0
2025-09-03 05:05:00,0.0
2025-09-03 05:10:00,0.0
2025-09-03 05:15:00,0.0
2025-09-03 05:20:00,0.0
2025-09-03 05:25:00,0.0
2025-09-03 05:30:00,0.0
2025-09-03 05:35:00,0.0
2025-09-03 05:40:00,0.0
2025-09-03 05:45:00,0.0
2025-09-03 05:50:00,0.0
2025-09-03 05:55:00,0.0
2025-09-03 06:00:00,0.0
2025-09-03 06:05:00,0.0
2025-09-03 06:10:00,0.0
2025-09-03 06:15:00,0.0
2025-09-03 06:20:00,0.0
2025-09-03 06:25:00,0.0
2025-09-03 06:30:00,0.0
2025-09-03 06:35:00,0.0
2025-09-03 06:40:00,0.0
2025-09-03 06:45:00,0.8279999999999998
2025-09-03 06:50:00,1.228
2025-09-03 06:55:00,1.801
2025-09-03 07:00:00,2.694
2025-09-03 07:05:00,4.644
2025-09-03 07:10:00,8.557
2025-09-03 07:15:00,10.774
2025-09-03 07:20:00,11.267
2025-09-03 07:25:00,14.426
2025-09-03 07:30:00,17.208
2025-09-03 07:35:00,20.989
2025-09-03 07:40:00,24.492999999999995
2025-09-03 07:45:00,27.72
2025-09-03 07:50:00,31.775
2025-09-03 07:55:00,36.279
2025-09-03 08:00:00,39.994
2025-09-03 08:05:00,44.587
2025-09-03 08:10:00,50.497
2025-09-03 08:15:00,54.72099999999999
2025-09-03 08:20:00,59.6
2025-09-03 08:25:00,64.244
2025-09-03 08:30:00,68.446
2025-09-03 08:35:00,74.38900000000001
2025-09-03 08:40:00,80.056
2025-09-03 08:45:00,85.13000000000001
2025-09-03 08:50:00,91.292
2025-09-03 08:55:00,95.301
2025-09-03 09:00:00,101.824
2025-09-03 09:05:00,108.221
2025-09-03 09:10:00,113.078
2025-09-03 09:15:00,121.423
2025-09-03 09:20:00,126.782
2025-09-03 09:25:00,131.03199999999998
2025-09-03 09:30:00,141.48200000000003
2025-09-03 09:35:00,147.469
2025-09-03 09:40:00,155.725
2025-09-03 09:45:00,158.728
2025-09-03 09:50:00,162.734
2025-09-03 09:55:00,172.786
2025-09-03 10:00:00,176.193
2025-09-03 10:05:00,181.066
2025-09-03 10:10:00,186.299
