t,Total
2025-08-27 00:00:00,0.0
2025-08-27 00:05:00,0.0
2025-08-27 00:10:00,0.0
2025-08-27 00:15:00,0.0
2025-08-27 00:20:00,0.0
2025-08-27 00:25:00,0.0
2025-08-27 00:30:00,0.0
2025-08-27 00:35:00,0.0
2025-08-27 00:40:00,0.0
2025-08-27 00:45:00,0.0
2025-08-27 00:50:00,0.0
2025-08-27 00:55:00,0.0
2025-08-27 01:00:00,0.0
2025-08-27 01:05:00,0.0
2025-08-27 01:10:00,0.0
2025-08-27 01:15:00,0.0
2025-08-27 01:20:00,0.0
2025-08-27 01:25:00,0.0
2025-08-27 01:30:00,0.0
2025-08-27 01:35:00,0.0
2025-08-27 01:40:00,0.0
2025-08-27 01:45:00,0.0
2025-08-27 01:50:00,0.0
2025-08-27 01:55:00,0.0
2025-08-27 02:00:00,0.0
2025-08-27 02:05:00,0.0
2025-08-27 02:10:00,0.0
2025-08-27 02:15:00,0.0
2025-08-27 02:20:00,0.0
2025-08-27 02:25:00,0.0
2025-08-27 02:30:00,0.0
2025-08-27 02:35:00,0.0
2025-08-27 02:40:00,0.0
2025-08-27 02:45:00,0.0
2025-08-27 02:50:00,0.0
2025-08-27 02:55:00,0.0
2025-08-27 03:00:00,0.0
2025-08-27 03:05:00,0.0
2025-08-27 03:10:00,0.0
2025-08-27 03:15:00,0.0
2025-08-27 03:20:00,0.0
2025-08-27 03:25:00,0.0
2025-08-27 03:30:00,0.0
2025-08-27 03:35:00,0.0
2025-08-27 03:40:00,0.0
2025-08-27 03:45:00,0.0
2025-08-27 03:50:00,0.0
2025-08-27 03:55:00,0.0
2025-08-27 04:00:00,0.0
2025-08-27 04:05:00,0.0
2025-08-27 04:10:00,0.0
2025-08-27 04:15:00,0.0
2025-08-27 04:20:00,0.0
2025-08-27 04:25:00,0.0
2025-08-27 04:30:00,0.0
2025-08-27 04:35:00,0.0
2025-08-27 04:40:00,0.0
2025-08-27 04:45:00,0.0
2025-08-27 04:50:00,0.0
2025-08-27 04:55:00,0.0
2025-08-27 05:00:00,0.0
2025-08-27 05:05:00,0.0
2025-08-27 05:10:00,0.0
2025-08-27 05:15:00,0.0
2025-08-27 05:20:00,0.0
2025-08-27 05:25:00,0.0
2025-08-27 05:30:00,0.0
2025-08-27 05:35:00,0.0
2025-08-27 05:40:00,0.0
2025-08-27 05:45:00,0.0
2025-08-27 05:50:00,0.0
2025-08-27 05:55:00,0.0
2025-08-27 06:00:00,0.0
2025-08-27 06:05:00,0.0
2025-08-27 06:10:00,0.0
2025-08-27 06:15:00,0.0
2025-08-27 06:20:00,0.0
2025-08-27 06:25:00,0.0
2025-08-27 06:30:00,0.0
2025-08-27 06:35:00,0.0
2025-08-27 06:40:00,0.229
2025-08-27 06:45:00,1.0550000000000002
2025-08-27 06:50:00,2.233
2025-08-27 06:55:00,2.233
2025-08-27 07:00:00,5.843
2025-08-27 07:05:00,6.338
2025-08-27 07:10:00,7.109999999999999
2025-08-27 07:15:00,13.02
2025-08-27 07:20:00,14.577
2025-08-27 07:25:00,21.296
2025-08-27 07:30:00,22.236
2025-08-27 07:35:00,24.414
2025-08-27 07:40:00,24.414
2025-08-27 07:45:00,23.579
2025-08-27 07:50:00,22.583
2025-08-27 07:55:00,16.128
2025-08-27 08:00:00,19.236
2025-08-27 08:05:00,14.219
2025-08-27 08:10:00,14.219
2025-08-27 08:15:00,18.93
2025-08-27 08:20:00,18.93
2025-08-27 08:25:00,18.349
2025-08-27 08:30:00,22.731
2025-08-27 08:35:00,18.916
2025-08-27 08:40:00,23.985
2025-08-27 08:45:00,23.985
2025-08-27 08:50:00,18.625
2025-08-27 08:55:00,16.389000000000003
2025-08-27 09:00:00,12.507
2025-08-27 09:05:00,37.869
2025-08-27 09:10:00,37.869
2025-08-27 09:15:00,43.661
2025-08-27 09:20:00,50.843
2025-08-27 09:25:00,60.76
2025-08-27 09:30:00,63.961
2025-08-27 09:35:00,75.691
2025-08-27 09:40:00,67.747
2025-08-27 09:45:00,78.149
2025-08-27 09:50:00,80.65100000000001
2025-08-27 09:55:00,80.65100000000001
2025-08-27 10:00:00,80.785
2025-08-27 10:05:00,81.24000000000001
2025-08-27 10:10:00,84.757
2025-08-27 10:15:00,98.796
2025-08-27 10:20:00,100.715
2025-08-27 10:25:00,100.715
2025-08-27 10:30:00,102.399
2025-08-27 10:35:00,94.18
2025-08-27 10:40:00,94.18
2025-08-27 10:45:00,119.19
2025-08-27 10:50:00,119.19
2025-08-27 10:55:00,116.393
2025-08-27 11:00:00,99.547
2025-08-27 11:05:00,106.189
2025-08-27 11:10:00,137.111
2025-08-27 11:15:00,137.111
2025-08-27 11:20:00,136.121
2025-08-27 11:25:00,107.018
2025-08-27 11:30:00,141.939
2025-08-27 11:35:00,127.989
2025-08-27 11:40:00,127.989
2025-08-27 11:45:00,115.846
2025-08-27 11:50:00,113.184
2025-08-27 11:55:00,212.625
2025-08-27 12:00:00,212.625
2025-08-27 12:05:00,208.053
2025-08-27 12:10:00,222.652
2025-08-27 12:15:00,222.652
2025-08-27 12:20:00,213.546
2025-08-27 12:25:00,213.838
2025-08-27 12:30:00,214.407
2025-08-27 12:35:00,221.783
2025-08-27 12:40:00,221.783
2025-08-27 12:45:00,224.93400000000003
2025-08-27 12:50:00,170.602
2025-08-27 12:55:00,220.423
2025-08-27 13:00:00,222.765
2025-08-27 13:05:00,215.311
2025-08-27 13:10:00,183.557
2025-08-27 13:15:00,227.538
