t,PacPV,Pbat,PacGrid,PacHome,IBat,TBat,VBat,SoC,SoH,FreqIn,FreqOut,nCicli
2025-08-27 00:00:00,0.0,-412.676,-6468.6,10443.0,1.2,37.1,49.86,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:01:00,0.0,690.6,545.439,2442.77,18.6,37.1,50.43,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:02:00,10.7586,486.48,2390.29,0.0,4.3,37.1,50.65,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:03:00,20.9825,141.66,2264.75,0.0,-2.2,37.1,50.69,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:04:00,0.0,312.655,2067.4,0.0,12.1,37.1,51.44,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:05:00,0.0,349.341,2640.59,0.0,4.4,37.1,52.38,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:06:00,15.5088,150.672,2715.79,0.0,1.7,37.1,53.06,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:07:00,16.1379,-88.0492,2430.48,12.3448,-3.5,37.1,52.35,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:08:00,0.0,-573.259,-3802.86,9485.77,-2.9,37.1,50.81,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:09:00,0.0,-420.419,-6427.31,11090.6,-11.3,37.0,50.27,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:10:00,8.66667,-437.687,-6441.6,10851.6,-5.4,37.0,49.83,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:11:00,22.8621,650.672,455.931,2401.59,11.1,37.0,50.88,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:12:00,0.0,521.733,2351.26,0.0,6.8,37.0,51.77,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:13:00,0.0,251.031,2376.69,0.0,3.2,37.0,52.68,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:14:00,2.73684,70.2292,2479.07,8.19298,-3.4,37.0,52.8,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:15:00,26.0,-132.787,1868.07,1.62069,-1.5,37.0,52.05,27.0,99.0,0.0,0.0,525.0
2025-08-27 00:16:00,2.73684,-587.709,-4457.16,10441.7,2.3,37.0,50.72,27.0,99.0,0.0,0.0,525.0
2025-08-27 00:17:00,0.0,-447.825,-6334.6,11038.8,-14.4,37.0,50.1,27.0,99.0,0.0,0.0,525.0
2025-08-27 00:18:00,0.0,-437.161,-6357.21,10694.5,-7.4,37.0,49.9,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:19:00,21.9655,610.962,-137.552,2982.81,18.9,37.0,50.76,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:20:00,10.0351,571.995,2429.23,0.0,8.0,37.0,51.56,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:21:00,0.0,296.827,2584.17,0.0,4.0,37.0,52.5,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:22:00,0.0,13.8947,2432.37,0.0,-1.3,37.0,52.29,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:23:00,15.6897,-86.7849,2145.72,0.0,-1.9,37.0,51.81,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:24:00,15.9649,-416.135,-1218.23,5906.49,-15.2,37.0,50.68,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:25:00,0.0,-360.349,-6414.36,10685.1,10.4,37.0,50.48,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:26:00,0.0,-461.461,-6457.09,11208.1,-17.8,37.0,49.81,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:27:00,19.2759,-49.7732,-2359.28,5405.59,3.9,37.0,50.03,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:28:00,11.8596,-16.2767,1694.72,0.0,-3.6,37.0,50.04,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:29:00,0.0,20.0957,1811.1,0.0,1.2,37.0,49.99,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:30:00,0.0,81.9303,1859.56,0.0,5.4,36.9,50.17,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:31:00,13.0,212.339,2213.29,0.0,-1.0,36.9,50.33,26.0,99.0,0.0,0.0,525.0
2025-08-27 00:32:00,18.7018,-71.1248,831.93,1880.0,2.4,36.9,50.11,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:33:00,0.0,-694.841,-6425.19,12100.8,-13.9,36.9,49.6,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:34:00,0.0,-419.485,-6409.68,10129.9,-21.1,36.9,49.54,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:35:00,5.82759,6.29712,-499.069,3436.36,4.0,36.9,49.92,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:36:00,26.0,271.93,2210.4,0.0,3.7,36.9,50.01,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:37:00,0.0,18.0654,2030.45,0.0,8.4,36.9,50.02,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:38:00,0.0,117.7,2160.67,0.0,0.8,36.9,50.03,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:39:00,0.0,133.109,2185.52,0.0,-2.2,36.9,50.09,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:40:00,25.0877,0.232412,2062.63,0.0,-0.9,36.9,49.93,25.0,99.0,0.0,0.0,525.0
2025-08-27 00:41:00,6.72414,-483.294,-3598.12,7430.36,-0.4,36.9,49.69,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:42:00,0.0,-515.913,-6535.14,10323.8,-1.2,36.9,49.69,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:43:00,0.0,-652.283,-6580.29,11228.3,-15.0,36.9,49.47,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:44:00,18.7018,40.7416,1119.4,763.421,-1.8,36.9,49.77,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:45:00,13.0,-137.769,1619.69,0.0,-3.3,36.9,49.76,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:46:00,0.0,-191.458,1406.11,0.0,-4.5,36.9,49.78,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:47:00,0.0,26.7346,1976.72,0.0,-2.4,36.9,49.88,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:48:00,11.8596,-99.1565,1924.35,0.0,-2.9,36.9,49.79,24.0,99.0,0.0,0.0,525.0
2025-08-27 00:49:00,19.7241,-547.589,-4070.74,7925.16,-12.4,36.9,49.56,23.0,99.0,0.0,0.0,525.0
2025-08-27 00:50:00,0.0,-668.232,-6456.0,10620.9,-15.3,36.9,49.51,23.0,99.0,0.0,0.0,525.0
2025-08-27 00:51:00,0.0,-634.736,-6528.05,10473.3,-7.0,36.9,49.64,23.0,99.0,0.0,0.0,525.0
2025-08-27 00:52:00,4.5614,221.914,955.754,1186.65,5.7,36.9,49.91,23.0,99.0,0.0,0.0,525.0
2025-08-27 00:53:00,26.0,98.7959,2239.95,0.0,0.6,36.9,49.96,23.0,99.0,0.0,0.0,525.0
2025-08-27 00:54:00,0.912281,71.9041,2182.3,0.0,4.2,36.9,49.91,23.0,99.0,0.0,0.0,525.0
2025-08-27 00:55:00,0.0,91.6241,2236.4,0.0,0.9,36.9,49.89,23.0,99.0,0.0,0.0,525.0
2025-08-27 00:56:00,0.0,75.5831,2153.88,0.0,3.2,36.9,49.94,23.0,99.0,0.0,0.0,525.0
2025-08-27 00:57:00,23.7586,80.5473,2213.67,0.0,2.7,36.9,50.01,23.0,99.0,0.0,0.0,525.0
2025-08-27 00:58:00,7.29825,-85.2725,786.123,1957.61,-13.2,36.9,49.64,22.0,99.0,0.0,0.0,525.0
2025-08-27 00:59:00,0.0,-882.667,-6403.38,12384.0,-18.3,36.9,49.5,22.0,99.0,0.0,0.0,525.0
2025-08-27 01:00:00,0.0,-610.498,-6543.63,10448.6,-8.5,36.9,49.47,22.0,99.0,0.0,0.0,525.0
2025-08-27 01:01:00,17.4828,-414.826,-4230.17,7186.0,-5.3,36.9,49.76,22.0,99.0,0.0,0.0,525.0
2025-08-27 01:02:00,14.1404,79.1912,1849.72,0.0,17.8,36.9,50.06,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:03:00,0.0,834.177,2345.78,0.0,15.7,36.9,50.23,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:04:00,0.0,783.479,2487.66,0.0,15.7,36.9,50.28,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:05:00,10.9474,793.866,2441.42,0.0,15.8,36.9,50.37,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:06:00,20.6207,802.835,2461.16,0.0,15.9,36.9,50.49,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:07:00,0.0,66.5253,-5235.11,5142.33,0.9,36.9,50.09,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:08:00,0.0,94.9541,-5664.59,4996.29,0.5,36.9,50.06,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:09:00,4.5614,125.98,-5174.46,4444.49,8.9,36.9,50.18,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:10:00,26.0,689.955,2557.84,0.0,14.9,36.9,50.51,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:11:00,0.912281,757.424,2596.65,0.0,14.5,36.9,50.65,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:12:00,0.0,713.526,2686.83,0.0,13.2,36.9,50.74,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:13:00,0.0,592.525,2607.89,0.0,9.6,36.9,51.03,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:14:00,24.2069,420.114,2579.43,0.0,7.6,36.9,51.54,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:15:00,7.29825,179.156,2564.18,0.0,4.2,36.9,51.95,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:16:00,0.0,147.137,-934.293,2173.4,-0.5,36.9,52.27,21.0,99.0,0.0,0.0,525.0
2025-08-27 01:17:00,0.0,-6.0486,-5857.07,5753.49,0.0,36.9,52.19,22.0,99.0,0.0,0.0,525.0
2025-08-27 01:18:00,17.4828,62.3332,-6006.09,4936.33,0.0,36.9,52.44,22.0,99.0,0.0,0.0,525.0
2025-08-27 01:19:00,13.6842,105.147,-476.368,1568.68,1.3,36.9,53.1,23.0,99.0,0.0,0.0,525.0
2025-08-27 01:20:00,0.0,46.8795,2592.62,0.0,0.5,36.9,53.31,24.0,99.0,0.0,0.0,525.0
2025-08-27 01:21:00,0.0,-108.599,1950.61,23.9298,-4.3,36.8,52.37,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:22:00,12.1034,-128.842,1620.53,6.05172,-2.6,36.8,51.85,27.0,99.0,0.0,0.0,525.0
2025-08-27 01:23:00,20.1724,-140.671,1423.26,22.7586,-1.6,36.8,51.48,27.0,99.0,0.0,0.0,525.0
2025-08-27 01:24:00,0.0,-386.198,378.526,3208.47,-29.7,36.8,50.44,27.0,99.0,0.0,0.0,525.0
2025-08-27 01:25:00,0.0,-619.673,-6556.53,12820.6,-18.5,36.8,49.92,27.0,99.0,0.0,0.0,525.0
2025-08-27 01:26:00,5.47368,-292.651,-6503.18,9938.39,-19.2,36.8,49.76,27.0,99.0,0.0,0.0,525.0
2025-08-27 01:27:00,26.0,-207.301,-4041.98,7226.05,9.7,36.8,49.97,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:28:00,0.45614,57.6089,1840.23,0.0,8.0,36.8,49.99,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:29:00,0.0,53.049,2020.02,0.0,-2.2,36.8,49.95,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:30:00,0.0,43.7013,1967.63,0.0,-1.4,36.8,49.97,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:31:00,24.2069,56.2177,2095.76,0.0,1.4,36.8,50.02,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:32:00,7.29825,36.6678,2005.02,0.0,-0.4,36.8,50.0,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:33:00,0.0,-13.3365,1903.62,0.0,-2.6,36.8,50.03,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:34:00,0.0,-574.013,-3249.14,8129.19,-35.3,36.8,49.46,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:35:00,18.3793,-592.872,-6649.31,10572.1,-2.5,36.8,49.68,26.0,99.0,0.0,0.0,525.0
2025-08-27 01:36:00,14.1404,-737.743,-6411.63,11432.0,-12.1,36.8,49.56,25.0,99.0,0.0,0.0,525.0
2025-08-27 01:37:00,0.0,115.243,835.155,1027.95,-4.0,36.8,49.75,25.0,99.0,0.0,0.0,525.0
2025-08-27 01:38:00,0.0,32.5515,2048.88,0.0,0.4,36.8,49.78,25.0,99.0,0.0,0.0,525.0
2025-08-27 01:39:00,11.6552,74.6036,2251.1,0.0,-0.5,36.8,49.86,25.0,99.0,0.0,0.0,525.0
2025-08-27 01:40:00,20.0702,112.228,2287.39,0.0,-1.8,36.8,49.96,25.0,99.0,0.0,0.0,525.0
2025-08-27 01:41:00,0.0,303.965,2336.5,0.0,2.1,36.8,50.05,25.0,99.0,0.0,0.0,525.0
2025-08-27 01:42:00,0.0,-458.667,-2520.42,7006.72,-17.3,36.8,49.6,25.0,99.0,0.0,0.0,525.0
