t,Total
2025-05-09 00:00:00,0.0
2025-05-09 00:05:00,0.0
2025-05-09 00:10:00,0.0
2025-05-09 00:15:00,0.0
2025-05-09 00:20:00,0.0
2025-05-09 00:25:00,0.0
2025-05-09 00:30:00,0.0
2025-05-09 00:35:00,0.0
2025-05-09 00:40:00,0.0
2025-05-09 00:45:00,0.0
2025-05-09 00:50:00,0.0
2025-05-09 00:55:00,0.0
2025-05-09 01:00:00,0.0
2025-05-09 01:05:00,0.0
2025-05-09 01:10:00,0.0
2025-05-09 01:15:00,0.0
2025-05-09 01:20:00,0.0
2025-05-09 01:25:00,0.0
2025-05-09 01:30:00,0.0
2025-05-09 01:35:00,0.0
2025-05-09 01:40:00,0.0
2025-05-09 01:45:00,0.0
2025-05-09 01:50:00,0.0
2025-05-09 01:55:00,0.0
2025-05-09 02:00:00,0.0
2025-05-09 02:05:00,0.0
2025-05-09 02:10:00,0.0
2025-05-09 02:15:00,0.0
2025-05-09 02:20:00,0.0
2025-05-09 02:25:00,0.0
2025-05-09 02:30:00,0.0
2025-05-09 02:35:00,0.0
2025-05-09 02:40:00,0.0
2025-05-09 02:45:00,0.0
2025-05-09 02:50:00,0.0
2025-05-09 02:55:00,0.0
2025-05-09 03:00:00,0.0
2025-05-09 03:05:00,0.0
2025-05-09 03:10:00,0.0
2025-05-09 03:15:00,0.0
2025-05-09 03:20:00,0.0
2025-05-09 03:25:00,0.0
2025-05-09 03:30:00,0.0
2025-05-09 03:35:00,0.0
2025-05-09 03:40:00,0.0
2025-05-09 03:45:00,0.0
2025-05-09 03:50:00,0.0
2025-05-09 03:55:00,0.0
2025-05-09 04:00:00,0.0
2025-05-09 04:05:00,0.0
2025-05-09 04:10:00,0.0
2025-05-09 04:15:00,0.0
2025-05-09 04:20:00,0.0
2025-05-09 04:25:00,0.0
2025-05-09 04:30:00,0.0
2025-05-09 04:35:00,0.0
2025-05-09 04:40:00,0.0
2025-05-09 04:45:00,0.0
2025-05-09 04:50:00,0.0
2025-05-09 04:55:00,0.0
2025-05-09 05:00:00,0.0
2025-05-09 05:05:00,0.0
2025-05-09 05:10:00,0.0
2025-05-09 05:15:00,0.0
2025-05-09 05:20:00,0.0
2025-05-09 05:25:00,0.0
2025-05-09 05:30:00,0.0
2025-05-09 05:35:00,0.0
2025-05-09 05:40:00,0.0
2025-05-09 05:45:00,0.0
2025-05-09 05:50:00,0.0
2025-05-09 05:55:00,0.0
2025-05-09 06:00:00,0.0
2025-05-09 06:05:00,0.0
2025-05-09 06:10:00,0.0
2025-05-09 06:15:00,0.0
2025-05-09 06:20:00,0.171
2025-05-09 06:25:00,0.36
2025-05-09 06:30:00,0.621
2025-05-09 06:35:00,0.9309999999999998
2025-05-09 06:40:00,2.288
2025-05-09 06:45:00,5.214
2025-05-09 06:50:00,6.489000000000001
2025-05-09 06:55:00,6.378
2025-05-09 07:00:00,5.271000000000001
2025-05-09 07:05:00,5.218
2025-05-09 07:10:00,5.767
2025-05-09 07:15:00,8.07
2025-05-09 07:20:00,11.781
2025-05-09 07:25:00,17.274
2025-05-09 07:30:00,25.722
2025-05-09 07:35:00,21.454
2025-05-09 07:40:00,29.136
2025-05-09 07:45:00,21.161
2025-05-09 07:50:00,25.394
2025-05-09 07:55:00,23.683
2025-05-09 08:00:00,23.172000000000004
2025-05-09 08:05:00,28.076000000000004
2025-05-09 08:10:00,61.493
2025-05-09 08:15:00,47.269
2025-05-09 08:20:00,27.435
2025-05-09 08:25:00,73.92
2025-05-09 08:30:00,40.621
2025-05-09 08:35:00,54.89
2025-05-09 08:40:00,56.905
2025-05-09 08:45:00,52.007
2025-05-09 08:50:00,65.17600000000002
2025-05-09 08:55:00,53.41399999999999
2025-05-09 09:00:00,58.138000000000005
2025-05-09 09:05:00,48.27
2025-05-09 09:10:00,41.125
2025-05-09 09:15:00,42.551
2025-05-09 09:20:00,43.138
2025-05-09 09:25:00,45.488
2025-05-09 09:30:00,45.433
2025-05-09 09:35:00,45.543
2025-05-09 09:40:00,23.357
2025-05-09 09:45:00,35.518
2025-05-09 09:50:00,24.868
2025-05-09 09:55:00,30.827000000000005
2025-05-09 10:00:00,42.724
2025-05-09 10:05:00,53.641
2025-05-09 10:10:00,38.781
2025-05-09 10:15:00,58.6
2025-05-09 10:20:00,43.481
2025-05-09 10:25:00,55.135
2025-05-09 10:30:00,55.05
2025-05-09 10:35:00,53.098000000000006
2025-05-09 10:40:00,74.035
2025-05-09 10:45:00,68.655
2025-05-09 10:50:00,71.406
2025-05-09 10:55:00,72.123
2025-05-09 11:00:00,71.888
2025-05-09 11:05:00,65.36399999999999
2025-05-09 11:10:00,74.545
2025-05-09 11:15:00,88.229
2025-05-09 11:20:00,76.323
2025-05-09 11:25:00,241.358
2025-05-09 11:30:00,254.416
2025-05-09 11:35:00,154.02400000000003
2025-05-09 11:40:00,71.69099999999999
2025-05-09 11:45:00,257.201
2025-05-09 11:50:00,113.34
2025-05-09 11:55:00,279.98
2025-05-09 12:00:00,277.692
2025-05-09 12:05:00,102.624
2025-05-09 12:10:00,124.732
2025-05-09 12:15:00,129.96300000000002
2025-05-09 12:20:00,127.40599999999998
2025-05-09 12:25:00,95.346
2025-05-09 12:30:00,98.669
2025-05-09 12:35:00,189.77
2025-05-09 12:40:00,101.24
2025-05-09 12:45:00,89.97999999999999
2025-05-09 12:50:00,75.791
2025-05-09 12:55:00,69.57
2025-05-09 13:00:00,66.238
2025-05-09 13:05:00,78.02
2025-05-09 13:10:00,93.761
2025-05-09 13:15:00,140.623
2025-05-09 13:20:00,140.388
2025-05-09 13:25:00,127.821
2025-05-09 13:30:00,112.93800000000002
2025-05-09 13:35:00,254.49
2025-05-09 13:40:00,236.859
2025-05-09 13:45:00,314.067
2025-05-09 13:50:00,262.112
2025-05-09 13:55:00,286.951
2025-05-09 14:00:00,291.627
2025-05-09 14:05:00,287.147
2025-05-09 14:10:00,69.206
2025-05-09 14:15:00,62.568
2025-05-09 14:20:00,68.725
2025-05-09 14:25:00,214.002
2025-05-09 14:30:00,80.839
2025-05-09 14:35:00,48.122
2025-05-09 14:40:00,54.251000000000005
2025-05-09 14:45:00,59.27400000000001
2025-05-09 14:50:00,69.771
2025-05-09 14:55:00,81.269
2025-05-09 15:00:00,92.056
2025-05-09 15:05:00,123.869
2025-05-09 15:10:00,66.758
2025-05-09 15:15:00,58.962
2025-05-09 15:20:00,60.938
2025-05-09 15:25:00,62.777
2025-05-09 15:30:00,69.59200000000001
2025-05-09 15:35:00,58.337
2025-05-09 15:40:00,42.218
2025-05-09 15:45:00,30.455
2025-05-09 15:50:00,21.892000000000003
2025-05-09 15:55:00,17.981
2025-05-09 16:00:00,13.148
