t,Total
2025-03-06 00:00:00,0.0
2025-03-06 00:05:00,0.0
2025-03-06 00:10:00,0.0
2025-03-06 00:15:00,0.0
2025-03-06 00:20:00,0.0
2025-03-06 00:25:00,0.0
2025-03-06 00:30:00,0.0
2025-03-06 00:35:00,0.0
2025-03-06 00:40:00,0.0
2025-03-06 00:45:00,0.0
2025-03-06 00:50:00,0.0
2025-03-06 00:55:00,0.0
2025-03-06 01:00:00,0.0
2025-03-06 01:05:00,0.0
2025-03-06 01:10:00,0.0
2025-03-06 01:15:00,0.0
2025-03-06 01:20:00,0.0
2025-03-06 01:25:00,0.0
2025-03-06 01:30:00,0.0
2025-03-06 01:35:00,0.0
2025-03-06 01:40:00,0.0
2025-03-06 01:45:00,0.0
2025-03-06 01:50:00,0.0
2025-03-06 01:55:00,0.0
2025-03-06 02:00:00,0.0
2025-03-06 02:05:00,0.0
2025-03-06 02:10:00,0.0
2025-03-06 02:15:00,0.0
2025-03-06 02:20:00,0.0
2025-03-06 02:25:00,0.0
2025-03-06 02:30:00,0.0
2025-03-06 02:35:00,0.0
2025-03-06 02:40:00,0.0
2025-03-06 02:45:00,0.0
2025-03-06 02:50:00,0.0
2025-03-06 02:55:00,0.0
2025-03-06 03:00:00,0.0
2025-03-06 03:05:00,0.0
2025-03-06 03:10:00,0.0
2025-03-06 03:15:00,0.0
2025-03-06 03:20:00,0.0
2025-03-06 03:25:00,0.0
2025-03-06 03:30:00,0.0
2025-03-06 03:35:00,0.0
2025-03-06 03:40:00,0.0
2025-03-06 03:45:00,0.0
2025-03-06 03:50:00,0.0
2025-03-06 03:55:00,0.0
2025-03-06 04:00:00,0.0
2025-03-06 04:05:00,0.0
2025-03-06 04:10:00,0.0
2025-03-06 04:15:00,0.0
2025-03-06 04:20:00,0.0
2025-03-06 04:25:00,0.0
2025-03-06 04:30:00,0.0
2025-03-06 04:35:00,0.0
2025-03-06 04:40:00,0.0
2025-03-06 04:45:00,0.0
2025-03-06 04:50:00,0.0
2025-03-06 04:55:00,0.0
2025-03-06 05:00:00,0.0
2025-03-06 05:05:00,0.0
2025-03-06 05:10:00,0.0
2025-03-06 05:15:00,0.0
2025-03-06 05:20:00,0.0
2025-03-06 05:25:00,0.0
2025-03-06 05:30:00,0.0
2025-03-06 05:35:00,0.0
2025-03-06 05:40:00,0.0
2025-03-06 05:45:00,0.0
2025-03-06 05:50:00,0.0
2025-03-06 05:55:00,0.0
2025-03-06 06:00:00,0.0
2025-03-06 06:05:00,0.0
2025-03-06 06:10:00,0.0
2025-03-06 06:15:00,0.0
2025-03-06 06:20:00,0.0
2025-03-06 06:25:00,0.0
2025-03-06 06:30:00,0.0
2025-03-06 06:35:00,0.0
2025-03-06 06:40:00,0.9250000000000002
2025-03-06 06:45:00,1.871
2025-03-06 06:50:00,4.388999999999999
2025-03-06 06:55:00,9.538999999999998
2025-03-06 07:00:00,16.665999999999997
2025-03-06 07:05:00,25.608
2025-03-06 07:10:00,35.695
2025-03-06 07:15:00,47.61
2025-03-06 07:20:00,58.97600000000001
2025-03-06 07:25:00,69.225
2025-03-06 07:30:00,82.43399999999998
2025-03-06 07:35:00,98.067
2025-03-06 07:40:00,112.603
2025-03-06 07:45:00,129.591
2025-03-06 07:50:00,148.25799999999998
2025-03-06 07:55:00,169.476
2025-03-06 08:00:00,181.64
2025-03-06 08:05:00,219.129
2025-03-06 08:10:00,246.698
2025-03-06 08:15:00,276.737
2025-03-06 08:20:00,295.087
2025-03-06 08:25:00,341.822
2025-03-06 08:30:00,371.95
2025-03-06 08:35:00,412.186
2025-03-06 08:40:00,433.3
2025-03-06 08:45:00,455.753
2025-03-06 08:50:00,459.0159999999999
2025-03-06 08:55:00,508.316
2025-03-06 09:00:00,521.1379999999999
2025-03-06 09:05:00,558.598
2025-03-06 09:10:00,579.826
2025-03-06 09:15:00,606.6899999999998
2025-03-06 09:20:00,631.671
2025-03-06 09:25:00,659.3600000000001
2025-03-06 09:30:00,662.0169999999999
2025-03-06 09:35:00,650.8889999999999
2025-03-06 09:40:00,631.7889999999999
2025-03-06 09:45:00,656.786
2025-03-06 09:50:00,517.135
2025-03-06 09:55:00,500.07700000000006
2025-03-06 10:00:00,532.913
2025-03-06 10:05:00,631.6800000000001
2025-03-06 10:10:00,605.405
2025-03-06 10:15:00,640.905
2025-03-06 10:20:00,588.801
2025-03-06 10:25:00,690.764
2025-03-06 10:30:00,516.799
2025-03-06 10:35:00,727.4150000000001
2025-03-06 10:40:00,705.9110000000002
2025-03-06 10:45:00,762.9850000000001
2025-03-06 10:50:00,779.4659999999999
2025-03-06 10:55:00,773.3419999999999
2025-03-06 11:00:00,749.1750000000002
2025-03-06 11:05:00,741.239
2025-03-06 11:10:00,710.6600000000001
2025-03-06 11:15:00,708.8439999999999
2025-03-06 11:20:00,727.4609999999999
2025-03-06 11:25:00,722.543
2025-03-06 11:30:00,740.3219999999999
2025-03-06 11:35:00,791.769
2025-03-06 11:40:00,754.6679999999999
2025-03-06 11:45:00,734.5600000000002
2025-03-06 11:50:00,609.132
2025-03-06 11:55:00,620.991
2025-03-06 12:00:00,652.363
