t,Total
2025-05-09 00:00:00,0.0
2025-05-09 00:05:00,0.0
2025-05-09 00:10:00,0.0
2025-05-09 00:15:00,0.0
2025-05-09 00:20:00,0.0
2025-05-09 00:25:00,0.0
2025-05-09 00:30:00,0.0
2025-05-09 00:35:00,0.0
2025-05-09 00:40:00,0.0
2025-05-09 00:45:00,0.0
2025-05-09 00:50:00,0.0
2025-05-09 00:55:00,0.0
2025-05-09 01:00:00,0.0
2025-05-09 01:05:00,0.0
2025-05-09 01:10:00,0.0
2025-05-09 01:15:00,0.0
2025-05-09 01:20:00,0.0
2025-05-09 01:25:00,0.0
2025-05-09 01:30:00,0.0
2025-05-09 01:35:00,0.0
2025-05-09 01:40:00,0.0
2025-05-09 01:45:00,0.0
2025-05-09 01:50:00,0.0
2025-05-09 01:55:00,0.0
2025-05-09 02:00:00,0.0
2025-05-09 02:05:00,0.0
2025-05-09 02:10:00,0.0
2025-05-09 02:15:00,0.0
2025-05-09 02:20:00,0.0
2025-05-09 02:25:00,0.0
2025-05-09 02:30:00,0.0
2025-05-09 02:35:00,0.0
2025-05-09 02:40:00,0.0
2025-05-09 02:45:00,0.0
2025-05-09 02:50:00,0.0
2025-05-09 02:55:00,0.0
2025-05-09 03:00:00,0.0
2025-05-09 03:05:00,0.0
2025-05-09 03:10:00,0.0
2025-05-09 03:15:00,0.0
2025-05-09 03:20:00,0.0
2025-05-09 03:25:00,0.0
2025-05-09 03:30:00,0.0
2025-05-09 03:35:00,0.0
2025-05-09 03:40:00,0.0
2025-05-09 03:45:00,0.0
2025-05-09 03:50:00,0.0
2025-05-09 03:55:00,0.0
2025-05-09 04:00:00,0.0
2025-05-09 04:05:00,0.0
2025-05-09 04:10:00,0.0
2025-05-09 04:15:00,0.0
2025-05-09 04:20:00,0.0
2025-05-09 04:25:00,0.0
2025-05-09 04:30:00,0.0
2025-05-09 04:35:00,0.0
2025-05-09 04:40:00,0.0
2025-05-09 04:45:00,0.0
2025-05-09 04:50:00,0.0
2025-05-09 04:55:00,0.0
2025-05-09 05:00:00,0.0
2025-05-09 05:05:00,0.0
2025-05-09 05:10:00,0.0
2025-05-09 05:15:00,0.0
2025-05-09 05:20:00,0.0
2025-05-09 05:25:00,0.0
2025-05-09 05:30:00,0.0
2025-05-09 05:35:00,0.0
2025-05-09 05:40:00,0.0
2025-05-09 05:45:00,0.0
2025-05-09 05:50:00,0.0
2025-05-09 05:55:00,0.0
2025-05-09 06:00:00,0.0
2025-05-09 06:05:00,0.0
2025-05-09 06:10:00,0.0
2025-05-09 06:15:00,0.0
2025-05-09 06:20:00,0.06
2025-05-09 06:25:00,0.017
2025-05-09 06:30:00,0.017
2025-05-09 06:35:00,0.027
2025-05-09 06:40:00,0.5640000000000001
2025-05-09 06:45:00,2.309
2025-05-09 06:50:00,2.309
2025-05-09 06:55:00,1.727
2025-05-09 07:00:00,1.628
2025-05-09 07:05:00,2.306
2025-05-09 07:10:00,3.03
2025-05-09 07:15:00,4.529
2025-05-09 07:20:00,5.729
2025-05-09 07:25:00,7.433
2025-05-09 07:30:00,9.573
2025-05-09 07:35:00,9.573
2025-05-09 07:40:00,12.159
2025-05-09 07:45:00,14.046
2025-05-09 07:50:00,13.297
2025-05-09 07:55:00,12.604
2025-05-09 08:00:00,13.284
2025-05-09 08:05:00,13.284
2025-05-09 08:10:00,17.705
2025-05-09 08:15:00,21.473
2025-05-09 08:20:00,26.801
2025-05-09 08:25:00,26.801
2025-05-09 08:30:00,40.683
2025-05-09 08:35:00,54.737
2025-05-09 08:40:00,58.277
2025-05-09 08:45:00,58.277
2025-05-09 08:50:00,52.426
2025-05-09 08:55:00,44.3
2025-05-09 09:00:00,44.3
2025-05-09 09:05:00,35.357
2025-05-09 09:10:00,35.178
2025-05-09 09:15:00,35.178
2025-05-09 09:20:00,35.032
2025-05-09 09:25:00,35.032
2025-05-09 09:30:00,33.948
2025-05-09 09:35:00,33.043000000000006
2025-05-09 09:40:00,33.043000000000006
2025-05-09 09:45:00,36.632000000000005
2025-05-09 09:50:00,47.607
2025-05-09 09:55:00,54.385
2025-05-09 10:00:00,57.29900000000001
2025-05-09 10:05:00,57.29900000000001
2025-05-09 10:10:00,67.19399999999999
2025-05-09 10:15:00,72.86
2025-05-09 10:20:00,68.204
2025-05-09 10:25:00,68.204
2025-05-09 10:30:00,79.85999999999999
2025-05-09 10:35:00,81.675
2025-05-09 10:40:00,87.286
2025-05-09 10:45:00,92.634
2025-05-09 10:50:00,92.634
2025-05-09 10:55:00,72.453
2025-05-09 11:00:00,79.515
2025-05-09 11:05:00,79.515
2025-05-09 11:10:00,70.113
2025-05-09 11:15:00,70.113
2025-05-09 11:20:00,72.694
2025-05-09 11:25:00,80.202
2025-05-09 11:30:00,83.701
2025-05-09 11:35:00,94.909
2025-05-09 11:40:00,94.909
2025-05-09 11:45:00,70.979
2025-05-09 11:50:00,70.979
2025-05-09 11:55:00,70.944
2025-05-09 12:00:00,74.514
2025-05-09 12:05:00,74.514
2025-05-09 12:10:00,84.202
2025-05-09 12:15:00,87.658
2025-05-09 12:20:00,79.695
2025-05-09 12:25:00,79.695
2025-05-09 12:30:00,80.993
2025-05-09 12:35:00,80.993
2025-05-09 12:40:00,77.545
2025-05-09 12:45:00,77.545
2025-05-09 12:50:00,62.788
2025-05-09 12:55:00,65.18900000000001
2025-05-09 13:00:00,65.35499999999999
2025-05-09 13:05:00,66.034
2025-05-09 13:10:00,81.156
2025-05-09 13:15:00,105.83599999999998
2025-05-09 13:20:00,138.755
2025-05-09 13:25:00,176.64800000000002
2025-05-09 13:30:00,183.686
2025-05-09 13:35:00,186.056
2025-05-09 13:40:00,187.0
2025-05-09 13:45:00,238.319
2025-05-09 13:50:00,240.643
2025-05-09 13:55:00,241.33300000000003
2025-05-09 14:00:00,241.33300000000003
2025-05-09 14:05:00,220.864
2025-05-09 14:10:00,232.619
2025-05-09 14:15:00,232.619
2025-05-09 14:20:00,191.684
2025-05-09 14:25:00,191.684
2025-05-09 14:30:00,168.77200000000002
2025-05-09 14:35:00,168.77200000000002
2025-05-09 14:40:00,153.69299999999998
2025-05-09 14:45:00,150.647
2025-05-09 14:50:00,158.529
2025-05-09 14:55:00,181.481
2025-05-09 15:00:00,219.021
2025-05-09 15:05:00,253.207
2025-05-09 15:10:00,216.579
2025-05-09 15:15:00,196.203
2025-05-09 15:20:00,221.429
2025-05-09 15:25:00,253.249
2025-05-09 15:30:00,268.584
2025-05-09 15:35:00,283.213
2025-05-09 15:40:00,336.702
2025-05-09 15:45:00,319.046
2025-05-09 15:50:00,347.714
2025-05-09 15:55:00,335.091
2025-05-09 16:00:00,366.90599999999995
