t,Total
2025-03-06 00:00:00,0.0
2025-03-06 00:05:00,0.0
2025-03-06 00:10:00,0.0
2025-03-06 00:15:00,0.0
2025-03-06 00:20:00,0.0
2025-03-06 00:25:00,0.0
2025-03-06 00:30:00,0.0
2025-03-06 00:35:00,0.0
2025-03-06 00:40:00,0.0
2025-03-06 00:45:00,0.0
2025-03-06 00:50:00,0.0
2025-03-06 00:55:00,0.0
2025-03-06 01:00:00,0.0
2025-03-06 01:05:00,0.0
2025-03-06 01:10:00,0.0
2025-03-06 01:15:00,0.0
2025-03-06 01:20:00,0.0
2025-03-06 01:25:00,0.0
2025-03-06 01:30:00,0.0
2025-03-06 01:35:00,0.0
2025-03-06 01:40:00,0.0
2025-03-06 01:45:00,0.0
2025-03-06 01:50:00,0.0
2025-03-06 01:55:00,0.0
2025-03-06 02:00:00,0.0
2025-03-06 02:05:00,0.0
2025-03-06 02:10:00,0.0
2025-03-06 02:15:00,0.0
2025-03-06 02:20:00,0.0
2025-03-06 02:25:00,0.0
2025-03-06 02:30:00,0.0
2025-03-06 02:35:00,0.0
2025-03-06 02:40:00,0.0
2025-03-06 02:45:00,0.0
2025-03-06 02:50:00,0.0
2025-03-06 02:55:00,0.0
2025-03-06 03:00:00,0.0
2025-03-06 03:05:00,0.0
2025-03-06 03:10:00,0.0
2025-03-06 03:15:00,0.0
2025-03-06 03:20:00,0.0
2025-03-06 03:25:00,0.0
2025-03-06 03:30:00,0.0
2025-03-06 03:35:00,0.0
2025-03-06 03:40:00,0.0
2025-03-06 03:45:00,0.0
2025-03-06 03:50:00,0.0
2025-03-06 03:55:00,0.0
2025-03-06 04:00:00,0.0
2025-03-06 04:05:00,0.0
2025-03-06 04:10:00,0.0
2025-03-06 04:15:00,0.0
2025-03-06 04:20:00,0.0
2025-03-06 04:25:00,0.0
2025-03-06 04:30:00,0.0
2025-03-06 04:35:00,0.0
2025-03-06 04:40:00,0.0
2025-03-06 04:45:00,0.0
2025-03-06 04:50:00,0.0
2025-03-06 04:55:00,0.0
2025-03-06 05:00:00,0.0
2025-03-06 05:05:00,0.0
2025-03-06 05:10:00,0.0
2025-03-06 05:15:00,0.0
2025-03-06 05:20:00,0.0
2025-03-06 05:25:00,0.0
2025-03-06 05:30:00,0.0
2025-03-06 05:35:00,0.0
2025-03-06 05:40:00,0.0
2025-03-06 05:45:00,0.0
2025-03-06 05:50:00,0.0
2025-03-06 05:55:00,0.0
2025-03-06 06:00:00,0.0
2025-03-06 06:05:00,0.0
2025-03-06 06:10:00,0.0
2025-03-06 06:15:00,0.0
2025-03-06 06:20:00,0.0
2025-03-06 06:25:00,0.0
2025-03-06 06:30:00,0.0
2025-03-06 06:35:00,0.0
2025-03-06 06:40:00,0.0
2025-03-06 06:45:00,0.0
2025-03-06 06:50:00,0.3999999999999999
2025-03-06 06:55:00,0.8690000000000001
2025-03-06 07:00:00,1.859
2025-03-06 07:05:00,3.1820000000000004
2025-03-06 07:10:00,5.049
2025-03-06 07:15:00,7.089
2025-03-06 07:20:00,9.593
2025-03-06 07:25:00,12.213
2025-03-06 07:30:00,15.188
2025-03-06 07:35:00,18.776
2025-03-06 07:40:00,21.945
2025-03-06 07:45:00,25.742
2025-03-06 07:50:00,30.112
2025-03-06 07:55:00,35.347
2025-03-06 08:00:00,40.322
2025-03-06 08:05:00,44.142
2025-03-06 08:10:00,48.241
2025-03-06 08:15:00,52.254000000000005
2025-03-06 08:20:00,55.971
2025-03-06 08:25:00,59.808
2025-03-06 08:30:00,63.598
2025-03-06 08:35:00,67.339
2025-03-06 08:40:00,71.623
2025-03-06 08:45:00,75.18
2025-03-06 08:50:00,78.976
2025-03-06 08:55:00,82.376
2025-03-06 09:00:00,85.634
2025-03-06 09:05:00,89.18599999999999
2025-03-06 09:10:00,92.351
2025-03-06 09:15:00,95.641
2025-03-06 09:20:00,98.76000000000002
2025-03-06 09:25:00,101.526
2025-03-06 09:30:00,104.518
2025-03-06 09:35:00,107.178
2025-03-06 09:40:00,109.598
2025-03-06 09:45:00,112.346
2025-03-06 09:50:00,114.893
2025-03-06 09:55:00,117.158
2025-03-06 10:00:00,119.493
2025-03-06 10:05:00,121.64
2025-03-06 10:10:00,123.966
2025-03-06 10:15:00,125.693
2025-03-06 10:20:00,127.508
2025-03-06 10:25:00,129.832
2025-03-06 10:30:00,131.374
2025-03-06 10:35:00,133.09300000000002
2025-03-06 10:40:00,134.875
2025-03-06 10:45:00,136.69
2025-03-06 10:50:00,138.22400000000002
2025-03-06 10:55:00,139.156
2025-03-06 11:00:00,140.501
2025-03-06 11:05:00,142.41099999999997
2025-03-06 11:10:00,143.628
2025-03-06 11:15:00,144.377
2025-03-06 11:20:00,145.40500000000003
2025-03-06 11:25:00,146.605
2025-03-06 11:30:00,147.286
2025-03-06 11:35:00,148.243
2025-03-06 11:40:00,148.712
2025-03-06 11:45:00,149.374
2025-03-06 11:50:00,149.554
2025-03-06 11:55:00,149.783
2025-03-06 12:00:00,150.475
