t,Q,P,Bar,Eta
2024-10-09 12:30:00,1.781,154.7689,1.4973,0.5801662878730015
2024-10-09 12:45:00,1.7801,154.3089,1.4953,0.5795084585769521
2024-10-09 13:00:00,1.7801,155.001,1.4958,0.5819130656291297
2024-10-09 13:15:00,1.7859,154.6161,1.4961,0.5784668710044746
2024-10-09 13:30:00,1.7808,154.7776,1.4986000000000002,0.5797606969432444
2024-10-09 13:45:00,1.7835,154.6076,1.4950999999999999,0.5796008596243686
2024-10-09 14:00:00,1.7868,154.9825,1.4921,0.5810992641225732
2024-10-09 14:15:00,1.7854,154.8896,1.4958,0.5797686612775057
2024-10-09 14:30:00,1.7804,153.9349,1.4949,0.5781611477801966
2024-10-09 14:45:00,1.7786,153.9906,1.4899999999999998,0.5808596278183044
2024-10-09 15:00:00,1.7822,154.3098,1.4895,0.581082904934307
2024-10-09 15:15:00,1.78,153.677,1.4879,0.5800382923184905
2024-10-09 15:30:00,1.7826,153.6644,1.4937,0.5768959882135429
2024-10-09 15:45:00,1.7768,153.9615,1.4929,0.5802089283975352
2024-10-09 16:00:00,1.7835,153.9391,1.4884,0.5796925321040283
2024-10-09 16:15:00,1.7826,153.9686,1.4918,0.5787742399666922
2024-10-09 16:30:00,1.783,152.6188,1.4865000000000002,0.5756166070958251
2024-10-09 16:45:00,1.7803,150.6963,1.4741,0.5740159878388594
2024-10-09 17:00:00,1.7767,148.0916,1.4708999999999999,0.5664671274851918
2024-10-09 17:15:00,1.7749,145.7324,1.4585,0.5627523688256961
2024-10-09 17:30:00,1.7725,143.3465,1.4516,0.5569233510044841
2024-10-09 17:45:00,1.7706,141.7783,1.4452,0.5538636830701902
2024-10-09 18:00:00,1.7661,140.6718,1.4401000000000002,0.5528924266909718
2024-10-09 18:15:00,1.7607,138.0589,1.4280000000000002,0.5488989178656853
2024-10-09 18:30:00,1.7597,134.9715,1.4110999999999998,0.5433594016895705
2024-10-09 18:45:00,1.745,131.7843,1.3993,0.5395093133236568
2024-10-09 19:00:00,1.1068,73.9271,1.2818999999999998,0.5208610829600012
2024-10-09 19:15:00,0.176,0.0,0.7641,0.0
2024-10-09 19:30:00,0.1706,0.0,0.7715,0.0
2024-10-09 19:45:00,0.1725,0.0,0.7676,0.0
2024-10-09 20:00:00,0.1714,0.0,0.7601,0.0
2024-10-09 20:15:00,0.1728,0.0,0.7642,0.0
2024-10-09 20:30:00,0.1717,0.0,0.7603,0.0
2024-10-09 20:45:00,0.3627,7.3764,1.1985,0.16962911751589696
2024-10-09 21:00:00,0.6999,42.2012,1.4479,0.4162859719694177
2024-10-09 21:15:00,1.4537,144.0553,1.5418,0.6424923291996727
2024-10-09 21:30:00,1.8004,185.0342,1.4433,0.7118162993546624
2024-10-09 21:45:00,1.9322,191.759,1.3866999999999998,0.7154226743364974
2024-10-09 22:00:00,1.8758,179.6137,1.3840000000000001,0.6916053993793635
2024-10-09 22:15:00,0.6445,27.2713,1.5272999999999999,0.27694919359285086
2024-10-09 22:30:00,1.1458,93.8792,1.5828000000000002,0.5174591348130454
2024-10-09 22:45:00,1.5502,157.6791,1.5016,0.6771325293336847
2024-10-09 23:00:00,1.7757,181.6258,1.4411999999999998,0.709455613830105
2024-10-09 23:15:00,1.8119,182.212,1.4076,0.7141756346473054
2024-10-09 23:30:00,1.5104,140.8294,1.3753,0.6777124227775897
2024-10-09 23:45:00,0.7439,39.6673,1.5901,0.33522406021609347
2024-10-10 00:00:00,1.2347,108.4959,1.577,0.5570083719493745
2024-10-10 00:15:00,1.6232,167.2806,1.4909,0.6909817327813884
2024-10-10 00:30:00,1.812,186.7525,1.4212,0.7249274911071454
2024-10-10 00:45:00,1.8386,186.0411,1.3996,0.7227019833560033
2024-10-10 01:00:00,1.2838,113.0192,1.3926,0.6319314998314818
2024-10-10 01:15:00,0.859,52.6742,1.5917000000000001,0.3851102747577136
2024-10-10 01:30:00,1.3324,124.8462,1.5563,0.6018509135579838
2024-10-10 01:45:00,1.6805,175.9456,1.4775,0.7083598571927494
2024-10-10 02:00:00,1.8362,189.4642,1.4142,0.7293531818620643
2024-10-10 02:15:00,1.8412,186.7174,1.3911,0.7287306094649882
2024-10-10 02:30:00,0.9572,69.5232,1.4764,0.49177286832823636
2024-10-10 02:45:00,1.0013,74.097,1.5918999999999996,0.46468875533448967
2024-10-10 03:00:00,1.4521,144.2731,1.5332999999999999,0.6477437630571137
2024-10-10 03:15:00,1.7457,182.5093,1.4549,0.7183296305063721
2024-10-10 03:30:00,1.8438,189.1818,1.4034,0.730845551696737
2024-10-10 03:45:00,1.5227,145.077,1.361,0.6997898369171706
2024-10-10 04:00:00,0.7434,39.4072,1.5846,0.33440665150064836
2024-10-10 04:15:00,1.2151,106.3283,1.5737999999999999,0.5558131863902869
2024-10-10 04:30:00,1.5908,164.3931,1.4975,0.6898310035129784
2024-10-10 04:45:00,1.7786,184.7979,1.4351,0.7237325686982221
2024-10-10 05:00:00,1.8072,185.123,1.4068,0.7278859550672365
2024-10-10 05:15:00,1.5612,149.4612,1.3945,0.6862667239165434
2024-10-10 05:30:00,0.7239,38.6874,1.5647,0.3414297987581332
2024-10-10 05:45:00,1.2353,110.1939,1.5733999999999997,0.5667447479475007
2024-10-10 06:00:00,1.6206,169.8919,1.4834,0.7064478399831283
2024-10-10 06:15:00,1.8203,189.482,1.4244,0.7305241262493861
2024-10-10 06:30:00,1.8454,188.4377,1.3948,0.7318243863844306
2024-10-10 06:45:00,0.9031,62.0581,1.4602,0.470426551577813
2024-10-10 07:00:00,0.9985,73.8497,1.5941,0.46379561891790644
2024-10-10 07:15:00,1.4326,141.8264,1.5386,0.6432028229768939
2024-10-10 07:30:00,1.7062,178.1391,1.4561,0.7167697226242568
2024-10-10 07:45:00,1.7637,180.3238,1.4277000000000002,0.7158679412663947
2024-10-10 08:00:00,1.5962,154.0351,1.4403000000000001,0.6697627119638179
2024-10-10 08:15:00,0.6677,33.5919,1.5021,0.33480804417813465
2024-10-10 08:30:00,1.0628,82.3218,1.5922000000000003,0.4863033150011034
2024-10-10 08:45:00,1.2466,108.9117,1.5683,0.5568776774485814
2024-10-10 09:00:00,1.2664,110.3147,1.56,0.558186624511369
2024-10-10 09:15:00,1.2681,109.4736,1.5566,0.5543964092674701
2024-10-10 09:30:00,1.2627,108.0495,1.544,0.55400900324405
2024-10-10 09:45:00,1.2581,105.4844,1.5325,0.5469078145440234
2024-10-10 10:00:00,1.2538,103.5589,1.5245000000000002,0.5415932861685335
2024-10-10 10:15:00,1.174,91.6038,1.5257,0.5112317104628475
2024-10-10 10:30:00,1.0032,68.7067,1.5487000000000002,0.4420646680928052
2024-10-10 10:45:00,1.0014,69.9015,1.5623,0.4466383525508102
2024-10-10 11:00:00,1.0054,71.1047,1.5752000000000002,0.4488128284330187
2024-10-10 11:15:00,1.0073,73.2337,1.5820999999999998,0.45936695397924354
2024-10-10 11:30:00,1.0051,73.9731,1.5932000000000002,0.4617807086514966
2024-10-10 11:45:00,1.113,90.0238,1.5843999999999998,0.5103156420854238
2024-10-10 12:00:00,1.2086,102.2943,1.5725999999999998,0.5380121841251038
2024-10-10 12:15:00,1.2062,101.9644,1.5724999999999998,0.5373783026522562
