t,Q,P,Bar,Eta
2025-10-06 13:59:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 14:04:33,1e-05,0.0,11.2,0.0
2025-10-06 14:09:33,8e-05,0.0,11.2,0.0
2025-10-06 14:14:33,2.9999999999999997e-05,0.0,11.2,0.0
2025-10-06 14:19:33,2.9999999999999997e-05,0.0,11.21,0.0
2025-10-06 14:24:33,2.9999999999999997e-05,0.0,11.21,0.0
2025-10-06 14:29:33,5.9999999999999995e-05,0.0,11.21,0.0
2025-10-06 14:34:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 14:39:33,5.9999999999999995e-05,0.0,11.21,0.0
2025-10-06 14:44:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 14:49:33,7.000000000000001e-05,0.0,11.21,0.0
2025-10-06 14:54:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 14:59:33,2.9999999999999997e-05,0.0,11.2,0.0
2025-10-06 15:04:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 15:09:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 15:14:33,2.9999999999999997e-05,0.0,11.21,0.0
2025-10-06 15:19:33,7.000000000000001e-05,0.0,11.21,0.0
2025-10-06 15:24:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 15:29:33,2.9999999999999997e-05,0.0,11.21,0.0
2025-10-06 15:34:33,2.9999999999999997e-05,0.0,11.2,0.0
2025-10-06 15:39:33,2.9999999999999997e-05,0.0,11.21,0.0
2025-10-06 15:44:33,5.9999999999999995e-05,0.0,11.21,0.0
2025-10-06 15:49:33,5.9999999999999995e-05,0.0,11.21,0.0
2025-10-06 15:54:33,1e-05,0.0,11.21,0.0
2025-10-06 15:59:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 16:04:33,7.000000000000001e-05,0.0,11.21,0.0
2025-10-06 16:09:33,2e-05,0.0,11.21,0.0
2025-10-06 16:14:33,0.0,0.0,11.2,
2025-10-06 16:19:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 16:24:33,2.9999999999999997e-05,0.0,11.21,0.0
2025-10-06 16:29:33,2e-05,0.0,11.2,0.0
2025-10-06 16:34:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 16:39:33,2.9999999999999997e-05,0.0,11.2,0.0
2025-10-06 16:44:33,2.9999999999999997e-05,0.0,11.2,0.0
2025-10-06 16:49:33,5.9999999999999995e-05,0.0,11.21,0.0
2025-10-06 16:54:33,2e-05,0.0,11.2,0.0
2025-10-06 16:59:33,2.9999999999999997e-05,0.0,11.21,0.0
2025-10-06 17:04:33,2.9999999999999997e-05,0.0,11.2,0.0
2025-10-06 17:09:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 17:14:33,7.000000000000001e-05,0.0,11.2,0.0
2025-10-06 17:19:33,5.9999999999999995e-05,0.0,11.2,0.0
2025-10-06 17:24:33,2.9999999999999997e-05,0.0,11.2,0.0
2025-10-06 17:29:33,5.9999999999999995e-05,0.0,11.21,0.0
2025-10-06 17:34:33,0.0,0.0,11.2,
2025-10-06 17:39:33,2.9999999999999997e-05,0.0,11.2,0.0
2025-10-06 17:44:33,1e-05,0.0,11.21,0.0
2025-10-06 17:49:33,7.000000000000001e-05,0.0,11.21,0.0
2025-10-06 17:54:33,2e-05,0.0,11.2,0.0
2025-10-06 17:59:33,2.9999999999999997e-05,0.0,11.2,0.0
2025-10-06 18:04:33,1e-05,0.0,11.21,0.0
