t,Q,P,Bar,Eta
2025-06-04 11:01:25,0.030942329999999997,66.0255,27.07455,0.7878417209851282
2025-06-04 11:16:25,0.03090827,65.8555,27.05455,0.7872607087375167
2025-06-04 11:31:25,0.03150545,70.4905,28.23273,0.7921976807325403
2025-06-04 11:46:25,0.030955950000000003,67.031,27.28182,0.7934138187034909
2025-06-04 12:01:25,0.03153724,70.147,28.13636,0.7902400648192881
2025-06-04 12:16:25,0.031394189999999995,70.2525,28.17091,0.7940597133401412
2025-06-04 12:31:25,0.031571300000000004,70.4375,28.21091,0.79056195477194
2025-06-04 12:46:26,0.030699369999999997,64.687,26.74364,0.7876051859479232
2025-06-04 13:01:25,0.030699369999999997,64.6865,26.72,0.7882959111058586
2025-06-04 13:16:25,0.030642600000000002,64.6925,26.72,0.7898296010890328
2025-06-04 13:31:26,0.030688009999999998,64.2285,26.63636,0.7854629677038375
2025-06-04 13:46:26,0.03061535,64.7385,26.72182,0.791040842061982
2025-06-04 14:01:26,0.03073116,65.0355,26.77636,0.7900626459209262
2025-06-04 14:16:26,0.03064941,65.088,26.78182,0.7926478003706487
2025-06-04 14:31:26,0.030701640000000002,65.1175,26.79455,0.7912818669667516
2025-06-04 14:46:26,0.03069709,64.935,26.75455,0.7903610401812093
2025-06-04 15:01:26,0.03077657,65.134,26.79636,0.7895020586688889
2025-06-04 15:16:26,0.03075159,65.2725,26.82,0.7911255947034463
2025-06-04 15:31:26,0.03067439,65.725,26.91818,0.7957021002687896
2025-06-04 15:46:26,0.030699369999999997,65.41,26.85637,0.7930652340018626
2025-06-04 16:01:26,0.03072661,65.579,26.85818,0.7943558517425392
2025-06-04 16:16:26,0.03062897,65.334,26.84727,0.7942336124633832
2025-06-04 16:31:26,0.03083561,65.743,26.90727,0.7920796847275413
2025-06-04 16:46:26,0.030772030000000002,66.209,27.00909,0.7963288808366239
2025-06-04 17:01:26,0.03086512,65.6875,26.88546,0.7912957434564508
2025-06-04 17:16:26,0.030803820000000003,65.902,26.97636,0.7927791261737152
2025-06-04 17:31:26,0.03085831,65.7015,26.90909,0.7909438863413145
2025-06-04 17:46:26,0.03085377,65.7445,26.93818,0.7907231904472829
2025-06-04 18:01:26,0.03074478,65.7335,26.93636,0.79344713645071
2025-06-04 18:16:26,0.030828790000000002,65.7625,26.92727,0.791901285252446
2025-06-04 18:31:26,0.030874210000000003,66.046,26.99818,0.7920593323582412
2025-06-04 18:46:26,0.03076067,65.6105,26.92364,0.7919273086892797
2025-06-04 19:01:26,0.03076976,65.825,26.98545,0.792462338775034
2025-06-04 19:16:26,0.030894639999999998,65.81,26.95818,0.7898774592827188
2025-06-04 19:31:26,0.03076067,65.0825,26.79818,0.7892319786978946
2025-06-04 19:46:26,0.03070391,65.2645,26.81455,0.7924180421824135
2025-06-04 20:01:26,0.030710719999999997,65.152,26.80909,0.791037766285394
2025-06-04 20:16:26,0.030792459999999997,65.205,26.80727,0.7896333134042541
2025-06-04 20:31:26,0.03070618,65.422,26.80182,0.7946488817824295
2025-06-04 20:46:26,0.03074705,65.4025,26.79818,0.7934638276687105
2025-06-04 21:01:26,0.03076294,65.4445,26.80909,0.7932403187934206
2025-06-04 21:16:26,0.03083561,65.271,26.79818,0.7895942187359634
2025-06-04 21:31:26,0.03080836,65.5715,26.85818,0.7921574219159505
2025-06-04 21:46:26,0.030676659999999998,65.042,26.64909,0.7953256115475097
