t,Q,P,Bar,Eta
2024-11-28 10:00:00,0.0,62.3664,30.8487,inf
2024-11-28 10:15:00,0.0,41.5301,31.0368,inf
2024-11-28 10:30:00,0.0,33.0625,31.107,inf
2024-11-28 10:45:00,0.0,33.9198,31.0864,inf
2024-11-28 11:00:00,0.0,55.5927,30.8811,inf
2024-11-28 11:15:00,0.0,53.2773,30.9694,inf
2024-11-28 11:30:00,0.0,35.9513,31.1371,inf
2024-11-28 11:45:00,0.0,59.5397,30.8704,inf
2024-11-28 12:00:00,0.0,52.3653,30.9686,inf
2024-11-28 12:15:00,0.0,35.7013,31.3199,inf
2024-11-28 12:30:00,0.0,71.6775,30.9135,inf
2024-11-28 12:45:00,0.0,86.858,30.7267,inf
2024-11-28 13:00:00,0.0,42.136,31.2749,inf
2024-11-28 13:15:00,0.0,46.6199,31.1579,inf
2024-11-28 13:30:00,0.0,84.9755,30.6506,inf
2024-11-28 13:45:00,0.0,62.5152,31.0106,inf
2024-11-28 14:00:00,0.0,35.6155,31.3469,inf
2024-11-28 14:15:00,0.0173003,67.7713,30.7622,1.2729646054350812
2024-11-28 14:30:00,0.022227900000000002,60.8399,30.7819,0.888865749173335
2024-11-28 14:45:00,0.0180237,32.4992,31.1276,0.5790614065972677
2024-11-28 15:00:00,0.0180873,32.5575,31.12,0.5782015565057744
2024-11-28 15:15:00,0.0184204,34.8793,31.0483,0.6096385411143026
2024-11-28 15:30:00,0.0209891,53.1443,30.9137,0.818753979374999
2024-11-28 15:45:00,0.0213584,55.4412,30.946,0.8384958594716951
2024-11-28 16:00:00,0.0239366,73.7265,30.6936,1.0031245591052234
2024-11-28 16:15:00,0.027470099999999997,94.8796,30.0995,1.147083045867587
2024-11-28 16:30:00,0.028035599999999997,96.7472,30.0743,1.1470294263569798
2024-11-28 16:45:00,0.0246337,75.8941,30.6541,1.0046882768859526
2024-11-28 17:00:00,0.0201111,48.7315,30.9738,0.7820256570262298
2024-11-28 17:15:00,0.0226193,67.0352,30.7571,0.9632076020936969
2024-11-28 17:30:00,0.0247968,77.9667,30.5768,1.0279287630300844
2024-11-28 17:45:00,0.023517,69.1592,30.7627,0.9556197767998006
2024-11-28 18:00:00,0.0190111,38.5888,31.0997,0.6524381761634619
2024-11-28 18:15:00,0.0180419,34.5012,31.0923,0.614809567730538
2024-11-28 18:30:00,0.0205429,50.1669,30.8574,0.7911115412903822
2024-11-28 18:45:00,0.0191263,39.3041,30.9927,0.6628099473700222
2024-11-28 19:00:00,0.017931899999999997,32.852,31.0849,0.5891522881946407
2024-11-28 19:15:00,0.0181184,32.8844,31.091,0.5835484577648751
2024-11-28 19:30:00,0.0181249,32.8316,31.0728,0.5827436859137102
2024-11-28 19:45:00,0.018198899999999997,32.6705,31.014,0.5786212743139286
2024-11-28 20:00:00,0.0182058,32.6527,30.9942,0.5784561424729916
2024-11-28 20:15:00,0.0164224,21.856,31.0039,0.4291007424975289
2024-11-28 20:30:00,0.0120511,0.0,31.349,0.0
2024-11-28 20:45:00,0.018342300000000002,36.3551,30.9789,0.6395685445132067
2024-11-28 21:00:00,0.019763000000000003,42.185,30.9429,0.689581666267949
2024-11-28 21:15:00,0.0180288,32.7283,31.0011,0.5853573284443802
2024-11-28 21:30:00,0.0180426,32.9161,31.07,0.586961392327622
2024-11-28 21:45:00,0.0183059,32.8914,31.0868,0.5777724002498884
2024-11-28 22:00:00,0.0183321,32.9848,31.1304,0.5777746377518619
2024-11-28 22:15:00,0.018163799999999997,33.9288,31.1034,0.6003374834090943
2024-11-28 22:30:00,0.020755199999999998,50.3031,30.9048,0.7839410879762094
2024-11-28 22:45:00,0.0194727,40.6401,31.033,0.6722740859564021
2024-11-28 23:00:00,0.018026,33.0938,31.1513,0.5891320276682787
2024-11-28 23:15:00,0.0214797,55.5289,30.9003,0.836314642445846
2024-11-28 23:30:00,0.0209721,51.4726,30.9617,0.7924117840597118
2024-11-28 23:45:00,0.018510000000000002,34.4229,31.1927,0.5959771452656356
2024-11-29 00:00:00,0.0218756,58.2434,30.9104,0.8610406557724102
2024-11-29 00:15:00,0.0243818,73.1798,30.6511,0.9788607760066165
2024-11-29 00:30:00,0.0243782,74.7119,30.8947,0.9916209658662193
2024-11-29 00:45:00,0.0304363,112.51,30.3551,1.2173322793000898
2024-11-29 01:00:00,0.033438499999999996,133.3243,29.5987,1.346577722554233
2024-11-29 01:15:00,0.035307200000000004,135.7239,29.4943,1.3028562389206586
2024-11-29 01:30:00,0.0341537,135.3886,29.4629,1.344963144865584
2024-11-29 01:45:00,0.0338655,129.0329,29.7298,1.281127978828628
2024-11-29 02:00:00,0.0340137,129.453,29.7264,1.2798452548376444
2024-11-29 02:15:00,0.031064900000000003,113.0153,30.0842,1.2088442597181244
2024-11-29 02:30:00,0.025594699999999998,80.5477,30.8082,1.021123598299697
2024-11-29 02:45:00,0.024175699999999998,73.6337,30.8643,0.9864672505500938
2024-11-29 03:00:00,0.0295516,108.8972,30.0814,1.2245575671192246
2024-11-29 03:15:00,0.0332497,126.603,29.2801,1.2999458071457828
2024-11-29 03:30:00,0.0324989,122.6413,29.4248,1.2820238414691503
2024-11-29 03:45:00,0.0320413,122.5082,29.427,1.2988248189185436
2024-11-29 04:00:00,0.0327808,125.2415,29.4165,1.2983125377763394
2024-11-29 04:15:00,0.032106,117.6463,29.6264,1.2363878456020971
2024-11-29 04:30:00,0.0291654,101.4463,30.2327,1.1500927816005586
2024-11-29 04:45:00,0.0236809,68.3355,30.919,0.9329626781974645
2024-11-29 05:00:00,0.0244446,81.4794,30.7037,1.085214806777193
2024-11-29 05:15:00,0.0302131,115.526,29.7054,1.2867393460705445
2024-11-29 05:30:00,0.0325971,118.9882,29.4672,1.2383049149968273
2024-11-29 05:45:00,0.0266531,84.5732,30.5717,1.0375450980140357
2024-11-29 06:00:00,0.018622800000000002,34.9908,31.2941,0.6001889068933783
2024-11-29 06:15:00,0.0222268,66.15,30.8555,0.9641882972598712
2024-11-29 06:30:00,0.0261825,83.6508,30.4898,1.0474805037797934
2024-11-29 06:45:00,0.0197493,42.9381,31.079,0.6993033635670666
2024-11-29 07:00:00,0.0185961,35.3907,31.1056,0.6116038834628809
2024-11-29 07:15:00,0.0221232,59.1393,30.8327,0.8666788819789986
2024-11-29 07:30:00,0.020345500000000002,45.5756,30.9299,0.7239808004667749
2024-11-29 07:45:00,0.0183376,33.5232,31.068,0.5882083887118458
2024-11-29 08:00:00,0.0182998,33.5833,31.0864,0.5901305967448226
2024-11-29 08:15:00,0.0184373,33.6317,31.101,0.58629836397106
2024-11-29 08:30:00,0.0196857,42.3968,30.9324,0.6960014364189514
2024-11-29 08:45:00,0.019111999999999997,37.7544,30.9996,0.637010929085614
2024-11-29 09:00:00,0.0182668,32.3506,31.0768,0.5696723106065378
2024-11-29 09:15:00,0.018238900000000002,32.329,31.0471,0.5707082176602898
2024-11-29 09:30:00,0.018397200000000002,33.0979,30.9485,0.5810996884835785
2024-11-29 09:45:00,0.018285799999999998,33.7919,31.0862,0.5942545923530285
