t,Total
2025-03-06 00:00:00,0.0
2025-03-06 00:05:00,0.0
2025-03-06 00:10:00,0.0
2025-03-06 00:15:00,0.0
2025-03-06 00:20:00,0.0
2025-03-06 00:25:00,0.0
2025-03-06 00:30:00,0.0
2025-03-06 00:35:00,0.0
2025-03-06 00:40:00,0.0
2025-03-06 00:45:00,0.0
2025-03-06 00:50:00,0.0
2025-03-06 00:55:00,0.0
2025-03-06 01:00:00,0.0
2025-03-06 01:05:00,0.0
2025-03-06 01:10:00,0.0
2025-03-06 01:15:00,0.0
2025-03-06 01:20:00,0.0
2025-03-06 01:25:00,0.0
2025-03-06 01:30:00,0.0
2025-03-06 01:35:00,0.0
2025-03-06 01:40:00,0.0
2025-03-06 01:45:00,0.0
2025-03-06 01:50:00,0.0
2025-03-06 01:55:00,0.0
2025-03-06 02:00:00,0.0
2025-03-06 02:05:00,0.0
2025-03-06 02:10:00,0.0
2025-03-06 02:15:00,0.0
2025-03-06 02:20:00,0.0
2025-03-06 02:25:00,0.0
2025-03-06 02:30:00,0.0
2025-03-06 02:35:00,0.0
2025-03-06 02:40:00,0.0
2025-03-06 02:45:00,0.0
2025-03-06 02:50:00,0.0
2025-03-06 02:55:00,0.0
2025-03-06 03:00:00,0.0
2025-03-06 03:05:00,0.0
2025-03-06 03:10:00,0.0
2025-03-06 03:15:00,0.0
2025-03-06 03:20:00,0.0
2025-03-06 03:25:00,0.0
2025-03-06 03:30:00,0.0
2025-03-06 03:35:00,0.0
2025-03-06 03:40:00,0.0
2025-03-06 03:45:00,0.0
2025-03-06 03:50:00,0.0
2025-03-06 03:55:00,0.0
2025-03-06 04:00:00,0.0
2025-03-06 04:05:00,0.0
2025-03-06 04:10:00,0.0
2025-03-06 04:15:00,0.0
2025-03-06 04:20:00,0.0
2025-03-06 04:25:00,0.0
2025-03-06 04:30:00,0.0
2025-03-06 04:35:00,0.0
2025-03-06 04:40:00,0.0
2025-03-06 04:45:00,0.0
2025-03-06 04:50:00,0.0
2025-03-06 04:55:00,0.0
2025-03-06 05:00:00,0.0
2025-03-06 05:05:00,0.0
2025-03-06 05:10:00,0.0
2025-03-06 05:15:00,0.0
2025-03-06 05:20:00,0.0
2025-03-06 05:25:00,0.0
2025-03-06 05:30:00,0.0
2025-03-06 05:35:00,0.0
2025-03-06 05:40:00,0.0
2025-03-06 05:45:00,0.0
2025-03-06 05:50:00,0.0
2025-03-06 05:55:00,0.0
2025-03-06 06:00:00,0.0
2025-03-06 06:05:00,0.0
2025-03-06 06:10:00,0.0
2025-03-06 06:15:00,0.0
2025-03-06 06:20:00,0.0
2025-03-06 06:25:00,0.0
2025-03-06 06:30:00,0.0
2025-03-06 06:35:00,0.0
2025-03-06 06:40:00,0.059
2025-03-06 06:45:00,0.326
2025-03-06 06:50:00,0.681
2025-03-06 06:55:00,1.166
2025-03-06 07:00:00,2.446
2025-03-06 07:05:00,5.673
2025-03-06 07:10:00,8.058
2025-03-06 07:15:00,10.255
2025-03-06 07:20:00,13.16
2025-03-06 07:25:00,16.152
2025-03-06 07:30:00,19.051
2025-03-06 07:35:00,22.24
2025-03-06 07:40:00,25.427
2025-03-06 07:45:00,28.535
2025-03-06 07:50:00,31.865
2025-03-06 07:55:00,34.900000000000006
2025-03-06 08:00:00,38.344
2025-03-06 08:05:00,41.615
2025-03-06 08:10:00,44.443
2025-03-06 08:15:00,47.685
2025-03-06 08:20:00,51.272
2025-03-06 08:25:00,54.154
2025-03-06 08:30:00,57.413
2025-03-06 08:35:00,60.722
2025-03-06 08:40:00,63.679
2025-03-06 08:45:00,66.645
2025-03-06 08:50:00,69.162
2025-03-06 08:55:00,71.786
2025-03-06 09:00:00,74.655
2025-03-06 09:05:00,77.04599999999999
2025-03-06 09:10:00,79.876
2025-03-06 09:15:00,82.01
2025-03-06 09:20:00,84.691
2025-03-06 09:25:00,86.37
2025-03-06 09:30:00,88.27799999999999
2025-03-06 09:35:00,90.42
2025-03-06 09:40:00,92.925
2025-03-06 09:45:00,95.191
2025-03-06 09:50:00,97.125
2025-03-06 09:55:00,98.984
2025-03-06 10:00:00,101.471
2025-03-06 10:05:00,103.455
2025-03-06 10:10:00,104.719
2025-03-06 10:15:00,106.619
2025-03-06 10:20:00,108.559
2025-03-06 10:25:00,110.073
2025-03-06 10:30:00,111.837
2025-03-06 10:35:00,113.094
2025-03-06 10:40:00,114.733
2025-03-06 10:45:00,114.989
2025-03-06 10:50:00,115.508
2025-03-06 10:55:00,117.437
2025-03-06 11:00:00,118.484
2025-03-06 11:05:00,119.491
2025-03-06 11:10:00,121.201
2025-03-06 11:15:00,121.29
2025-03-06 11:20:00,122.807
2025-03-06 11:25:00,123.351
2025-03-06 11:30:00,123.854
2025-03-06 11:35:00,124.273
2025-03-06 11:40:00,125.204
2025-03-06 11:45:00,125.138
2025-03-06 11:50:00,124.776
2025-03-06 11:55:00,125.628
2025-03-06 12:00:00,126.227
