t,Total
2025-04-17 00:00:00,0.0
2025-04-17 00:05:00,0.0
2025-04-17 00:10:00,0.0
2025-04-17 00:15:00,0.0
2025-04-17 00:20:00,0.0
2025-04-17 00:25:00,0.0
2025-04-17 00:30:00,0.0
2025-04-17 00:35:00,0.0
2025-04-17 00:40:00,0.0
2025-04-17 00:45:00,0.0
2025-04-17 00:50:00,0.0
2025-04-17 00:55:00,0.0
2025-04-17 01:00:00,0.0
2025-04-17 01:05:00,0.0
2025-04-17 01:10:00,0.0
2025-04-17 01:15:00,0.0
2025-04-17 01:20:00,0.0
2025-04-17 01:25:00,0.0
2025-04-17 01:30:00,0.0
2025-04-17 01:35:00,0.0
2025-04-17 01:40:00,0.0
2025-04-17 01:45:00,0.0
2025-04-17 01:50:00,0.0
2025-04-17 01:55:00,0.0
2025-04-17 02:00:00,0.0
2025-04-17 02:05:00,0.0
2025-04-17 02:10:00,0.0
2025-04-17 02:15:00,0.0
2025-04-17 02:20:00,0.0
2025-04-17 02:25:00,0.0
2025-04-17 02:30:00,0.0
2025-04-17 02:35:00,0.0
2025-04-17 02:40:00,0.0
2025-04-17 02:45:00,0.0
2025-04-17 02:50:00,0.0
2025-04-17 02:55:00,0.0
2025-04-17 03:00:00,0.0
2025-04-17 03:05:00,0.0
2025-04-17 03:10:00,0.0
2025-04-17 03:15:00,0.0
2025-04-17 03:20:00,0.0
2025-04-17 03:25:00,0.0
2025-04-17 03:30:00,0.0
2025-04-17 03:35:00,0.0
2025-04-17 03:40:00,0.0
2025-04-17 03:45:00,0.0
2025-04-17 03:50:00,0.0
2025-04-17 03:55:00,0.0
2025-04-17 04:00:00,0.0
2025-04-17 04:05:00,0.0
2025-04-17 04:10:00,0.0
2025-04-17 04:15:00,0.0
2025-04-17 04:20:00,0.0
2025-04-17 04:25:00,0.0
2025-04-17 04:30:00,0.0
2025-04-17 04:35:00,0.0
2025-04-17 04:40:00,0.0
2025-04-17 04:45:00,0.0
2025-04-17 04:50:00,0.0
2025-04-17 04:55:00,0.0
2025-04-17 05:00:00,0.0
2025-04-17 05:05:00,0.0
2025-04-17 05:10:00,0.0
2025-04-17 05:15:00,0.0
2025-04-17 05:20:00,0.0
2025-04-17 05:25:00,0.0
2025-04-17 05:30:00,0.0
2025-04-17 05:35:00,0.0
2025-04-17 05:40:00,0.0
2025-04-17 05:45:00,0.0
2025-04-17 05:50:00,0.0
2025-04-17 05:55:00,0.0
2025-04-17 06:00:00,0.0
2025-04-17 06:05:00,0.0
2025-04-17 06:10:00,0.0
2025-04-17 06:15:00,0.0
2025-04-17 06:20:00,0.0
2025-04-17 06:25:00,0.0
2025-04-17 06:30:00,0.0
2025-04-17 06:35:00,0.0
2025-04-17 06:40:00,1.049
2025-04-17 06:45:00,1.57
2025-04-17 06:50:00,2.096
2025-04-17 06:55:00,2.602
2025-04-17 07:00:00,3.146
2025-04-17 07:05:00,3.27
2025-04-17 07:10:00,3.955
2025-04-17 07:15:00,14.142
2025-04-17 07:20:00,13.742
2025-04-17 07:25:00,16.868
2025-04-17 07:30:00,19.563
2025-04-17 07:35:00,20.838
2025-04-17 07:40:00,24.119
2025-04-17 07:45:00,27.933
2025-04-17 07:50:00,32.032000000000004
2025-04-17 07:55:00,41.45399999999999
2025-04-17 08:00:00,44.937
2025-04-17 08:05:00,55.406000000000006
2025-04-17 08:10:00,53.37
2025-04-17 08:15:00,63.533
2025-04-17 08:20:00,39.131
2025-04-17 08:25:00,43.294
2025-04-17 08:30:00,64.56
2025-04-17 08:35:00,63.262
2025-04-17 08:40:00,83.131
2025-04-17 08:45:00,101.452
2025-04-17 08:50:00,115.07
2025-04-17 08:55:00,118.774
2025-04-17 09:00:00,122.138
2025-04-17 09:05:00,124.913
2025-04-17 09:10:00,129.603
2025-04-17 09:15:00,134.466
2025-04-17 09:20:00,111.355
2025-04-17 09:25:00,154.156
2025-04-17 09:30:00,142.238
2025-04-17 09:35:00,123.485
2025-04-17 09:40:00,105.693
2025-04-17 09:45:00,110.12099999999998
2025-04-17 09:50:00,158.812
2025-04-17 09:55:00,161.754
2025-04-17 10:00:00,165.747
2025-04-17 10:05:00,173.21699999999998
2025-04-17 10:10:00,175.733
2025-04-17 10:15:00,175.42999999999998
2025-04-17 10:20:00,174.942
2025-04-17 10:25:00,198.301
2025-04-17 10:30:00,68.036
2025-04-17 10:35:00,220.443
2025-04-17 10:40:00,83.56099999999999
2025-04-17 10:45:00,152.52800000000002
2025-04-17 10:50:00,86.411
2025-04-17 10:55:00,255.327
2025-04-17 11:00:00,178.74399999999997
2025-04-17 11:05:00,244.998
2025-04-17 11:10:00,79.476
2025-04-17 11:15:00,250.174
2025-04-17 11:20:00,54.607
2025-04-17 11:25:00,219.935
2025-04-17 11:30:00,229.622
2025-04-17 11:35:00,234.831
2025-04-17 11:40:00,235.327
2025-04-17 11:45:00,240.164
2025-04-17 11:50:00,241.288
2025-04-17 11:55:00,246.832
