t,Total
2024-10-10 00:00:00,0.0
2024-10-10 00:05:00,0.0
2024-10-10 00:10:00,0.0
2024-10-10 00:15:00,0.0
2024-10-10 00:20:00,0.0
2024-10-10 00:25:00,0.0
2024-10-10 00:30:00,0.0
2024-10-10 00:35:00,0.0
2024-10-10 00:40:00,0.0
2024-10-10 00:45:00,0.0
2024-10-10 00:50:00,0.0
2024-10-10 00:55:00,0.0
2024-10-10 01:00:00,0.0
2024-10-10 01:05:00,0.0
2024-10-10 01:10:00,0.0
2024-10-10 01:15:00,0.0
2024-10-10 01:20:00,0.0
2024-10-10 01:25:00,0.0
2024-10-10 01:30:00,0.0
2024-10-10 01:35:00,0.0
2024-10-10 01:40:00,0.0
2024-10-10 01:45:00,0.0
2024-10-10 01:50:00,0.0
2024-10-10 01:55:00,0.0
2024-10-10 02:00:00,0.0
2024-10-10 02:05:00,0.0
2024-10-10 02:10:00,0.0
2024-10-10 02:15:00,0.0
2024-10-10 02:20:00,0.0
2024-10-10 02:25:00,0.0
2024-10-10 02:30:00,0.0
2024-10-10 02:35:00,0.0
2024-10-10 02:40:00,0.0
2024-10-10 02:45:00,0.0
2024-10-10 02:50:00,0.0
2024-10-10 02:55:00,0.0
2024-10-10 03:00:00,0.0
2024-10-10 03:05:00,0.0
2024-10-10 03:10:00,0.0
2024-10-10 03:15:00,0.0
2024-10-10 03:20:00,0.0
2024-10-10 03:25:00,0.0
2024-10-10 03:30:00,0.0
2024-10-10 03:35:00,0.0
2024-10-10 03:40:00,0.0
2024-10-10 03:45:00,0.0
2024-10-10 03:50:00,0.0
2024-10-10 03:55:00,0.0
2024-10-10 04:00:00,0.0
2024-10-10 04:05:00,0.0
2024-10-10 04:10:00,0.0
2024-10-10 04:15:00,0.0
2024-10-10 04:20:00,0.0
2024-10-10 04:25:00,0.0
2024-10-10 04:30:00,0.0
2024-10-10 04:35:00,0.0
2024-10-10 04:40:00,0.0
2024-10-10 04:45:00,0.0
2024-10-10 04:50:00,0.0
2024-10-10 04:55:00,0.0
2024-10-10 05:00:00,0.0
2024-10-10 05:05:00,0.0
2024-10-10 05:10:00,0.0
2024-10-10 05:15:00,0.0
2024-10-10 05:20:00,0.0
2024-10-10 05:25:00,0.0
2024-10-10 05:30:00,0.0
2024-10-10 05:35:00,0.0
2024-10-10 05:40:00,0.0
2024-10-10 05:45:00,0.0
2024-10-10 05:50:00,0.0
2024-10-10 05:55:00,0.0
2024-10-10 06:00:00,0.0
2024-10-10 06:05:00,0.0
2024-10-10 06:10:00,0.0
2024-10-10 06:15:00,0.0
2024-10-10 06:20:00,0.0
2024-10-10 06:25:00,0.0
2024-10-10 06:30:00,0.0
2024-10-10 06:35:00,0.0
2024-10-10 06:40:00,0.0
2024-10-10 06:45:00,0.0
2024-10-10 06:50:00,0.0
2024-10-10 06:55:00,0.0
2024-10-10 07:00:00,0.0
2024-10-10 07:05:00,0.0
2024-10-10 07:10:00,0.0
2024-10-10 07:15:00,0.0
2024-10-10 07:20:00,0.0
2024-10-10 07:25:00,0.0
2024-10-10 07:30:00,0.0
2024-10-10 07:35:00,0.0
2024-10-10 07:40:00,0.0
2024-10-10 07:45:00,0.0
2024-10-10 07:50:00,0.0
2024-10-10 07:55:00,0.253
2024-10-10 08:00:00,0.253
2024-10-10 08:05:00,0.552
2024-10-10 08:10:00,0.552
2024-10-10 08:15:00,2.885
2024-10-10 08:20:00,3.766
2024-10-10 08:25:00,5.007
2024-10-10 08:30:00,6.484
2024-10-10 08:35:00,6.484
2024-10-10 08:40:00,4.515000000000001
2024-10-10 08:45:00,4.685
2024-10-10 08:50:00,2.684
2024-10-10 08:55:00,4.064
2024-10-10 09:00:00,5.111
2024-10-10 09:05:00,3.259
2024-10-10 09:10:00,3.752
2024-10-10 09:15:00,10.739
2024-10-10 09:20:00,4.352
2024-10-10 09:25:00,8.148
2024-10-10 09:30:00,5.4670000000000005
2024-10-10 09:35:00,2.565
2024-10-10 09:40:00,2.76
2024-10-10 09:45:00,4.066
2024-10-10 09:50:00,6.691
2024-10-10 09:55:00,4.623
2024-10-10 10:00:00,3.322
2024-10-10 10:05:00,4.833
2024-10-10 10:10:00,4.146
2024-10-10 10:15:00,10.634
2024-10-10 10:20:00,11.172
2024-10-10 10:25:00,12.263
2024-10-10 10:30:00,6.908
2024-10-10 10:35:00,7.792999999999999
2024-10-10 10:40:00,7.792999999999999
2024-10-10 10:45:00,9.142
2024-10-10 10:50:00,13.052
2024-10-10 10:55:00,14.792
2024-10-10 11:00:00,4.416
2024-10-10 11:05:00,9.652
2024-10-10 11:10:00,10.563
2024-10-10 11:15:00,10.432
2024-10-10 11:20:00,10.432
2024-10-10 11:25:00,15.697
2024-10-10 11:30:00,17.383000000000003
2024-10-10 11:35:00,16.494999999999997
2024-10-10 11:40:00,32.825
2024-10-10 11:45:00,16.367
2024-10-10 11:50:00,16.367
2024-10-10 11:55:00,4.164
2024-10-10 12:00:00,8.82
2024-10-10 12:05:00,23.105
