t,PacPV,Pbat,PacGrid,PacHome,IBat,TBat,VBat,SoC,SoH,FreqIn,FreqOut,nCicli
2025-04-11 00:00:00,0.0,0.0,4598.25,0.0,0.0,23.5,53.34,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:01:00,1.34483,0.0,4653.17,0.0,0.0,23.5,53.34,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:02:00,26.0,0.0,4635.48,0.0,0.0,23.5,53.33,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:03:00,4.10526,0.0,4615.68,0.0,0.0,23.5,53.32,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:04:00,0.0,0.0,4634.31,0.0,0.0,23.5,53.31,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:05:00,0.0,0.0,4257.47,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:06:00,21.069,0.0,4082.59,0.0,0.0,23.5,53.28,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:07:00,10.3103,0.0,4208.45,0.0,0.0,23.5,53.27,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:08:00,0.0,0.0,4205.68,0.0,0.0,23.5,53.27,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:09:00,0.0,0.0,4142.47,0.0,0.0,23.5,53.26,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:10:00,15.2414,0.0,4696.57,0.0,0.0,23.5,53.25,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:11:00,16.4211,0.0,4949.79,0.0,0.0,23.5,53.25,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:12:00,0.0,0.0,5092.05,0.0,0.0,23.5,53.25,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:13:00,0.0,0.0,5114.04,0.0,0.0,23.5,53.25,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:14:00,9.41379,0.0,5135.79,0.0,0.0,23.5,53.25,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:15:00,22.3509,0.0,5101.39,0.0,0.0,23.5,53.26,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:16:00,0.0,0.0,5074.41,0.0,0.0,23.5,53.26,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:17:00,0.0,0.0,5115.4,0.0,0.0,23.5,53.27,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:18:00,3.64912,0.0,5091.16,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:19:00,26.0,0.0,5068.66,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:20:00,1.82456,0.0,5041.21,0.0,0.0,23.5,53.31,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:21:00,0.0,0.0,5053.43,0.0,0.0,23.5,53.31,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:22:00,0.0,0.0,5017.24,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:23:00,24.1754,0.0,5033.72,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:24:00,7.62069,0.0,5107.02,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:25:00,0.0,0.0,5073.33,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:26:00,0.0,0.0,5095.34,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:27:00,18.2456,0.0,5093.61,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:28:00,13.4483,0.0,5090.91,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:29:00,0.0,0.0,5045.21,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:30:00,0.0,0.0,5045.04,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:31:00,12.5517,0.0,4978.0,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:32:00,19.1579,0.0,4898.39,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:33:00,0.0,0.0,4811.53,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:34:00,0.0,0.0,4531.89,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:35:00,6.72414,0.0,4544.34,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:36:00,24.2069,0.0,4604.74,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:37:00,0.0,0.0,4618.12,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:38:00,0.0,0.0,4646.64,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:39:00,0.912281,0.0,4647.7,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:40:00,26.0,0.0,4564.4,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:41:00,4.5614,0.0,4621.61,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:42:00,0.0,0.0,4651.91,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:43:00,0.0,0.0,4642.82,0.0,0.0,23.5,53.3,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:44:00,21.069,0.0,4616.48,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
2025-04-11 00:45:00,10.4912,0.0,4645.93,0.0,0.0,23.5,53.29,100.0,99.0,0.0,0.0,481.0
